Comune Codice Anno Popolazione TotaleCOM ResiduoCOM DifferenziataCOM TotalePC ResiduoPC DifferenziataPC CoeffDiff
Jesolo 402 1998 22767 27729800 25999000 1730800 1217.982167 1141.959854 76.022313 0.062416606
Marcon 403 1998 11964 5545170 4463000 1082170 463.4879639 373.035774 90.4521899 0.195155424
Martellago 404 1998 18869 7415900 3733000 3682900 393.0202978 197.8377232 195.1825746 0.496622123
Meolo 405 1998 5788 1706220 1341760 364460 294.7857636 231.8175536 62.96821009 0.213606686
Mira 406 1998 36081 14929600 10076000 4853600 413.7801059 279.2605526 134.5195532 0.325099132
Mirano 407 1998 26331 10861300 7532000 3329300 412.4909802 286.0506627 126.4403175 0.306528684
MusilediPiave 408 1998 9972 4030930 3138270 892660 404.2248295 314.7081829 89.51664661 0.221452618
Noale 409 1998 14406 5754600 3861000 1893600 399.4585589 268.0133278 131.4452312 0.329058492
NoventadiPiave 410 1998 5835 2356600 2268200 88400 403.8731791 388.7232219 15.14995716 0.037511669
Pianiga 411 1998 8951 3405500 2116000 1289500 380.4602838 236.3981678 144.062116 0.37865218
Portogruaro 412 1998 24399 10197400 9018620 1178780 417.9433583 369.6307226 48.31263576 0.115596132
Pramaggiore 413 1998 3785 1586740 1399050 187690 419.2179657 369.6301189 49.58784676 0.11828655
Quartod'Altino 414 1998 7040 3414780 2801000 613780 485.0539773 397.8693182 87.18465909 0.17974218
Salzano 415 1998 11501 4543300 3017000 1526300 395.0352143 262.3250152 132.7101991 0.335945238
SanDonàdiPiave 416 1998 35540 18421300 17409000 1012300 518.3258301 489.8424311 28.48339899 0.054952691
SanMichelealTagliamento 417 1998 11868 16943200 15169800 1773400 1427.637344 1278.210313 149.4270307 0.104667359
SantaMariadiSala 418 1998 12809 4891000 3262000 1629000 381.8408931 254.6646889 127.1762042 0.333060724
SantoStinodiLivenza 419 1998 11546 4762410 4267750 494660 412.4727178 369.630175 42.84254287 0.10386758
Scorzè 420 1998 16593 6148200 3492000 2656200 370.5297415 210.4501898 160.0795516 0.432028887
Spinea 421 1998 25000 9720540 5314000 4406540 388.8216 212.56 176.2616 0.453322552
Stra 422 1998 6758 3718050 3023000 695050 550.1701687 447.3216928 102.8484759 0.18693939
TeglioVeneto 423 1998 2030 845567 750350 95217 416.535468 369.6305419 46.90492611 0.11260728
TorrediMosto 424 1998 4164 1517020 1475000 42020 364.3179635 354.2267051 10.09125841 0.027699042
Venezia 425 1998 291531 189448000 153322000 36126000 649.8382676 525.9200565 123.9182111 0.190690849
Vigonovo 426 1998 7884 2834300 1789000 1045300 359.5002537 226.9152714 132.5849822 0.368803585
Cavallino-Treporti 581 1998 NA NA NA NA 649.8382676 525.9200565 123.9182111 0.190690849
AnnoneVeneto 384 1999 3450 1661150 1360600 300550 481.4927536 394.3768116 87.11594203 0.180928875
CampagnaLupia 385 1999 6251 1896740 1081050 815690 303.4298512 172.9403295 130.4895217 0.430048399
CampolongoMaggiore 386 1999 9050 2636120 1394850 1241270 291.2839779 154.1270718 137.1569061 0.470870067
Camponogara 387 1999 10756 3404950 1626060 1778890 316.5628486 151.1770175 165.3858312 0.522442327
Caorle 388 1999 11416 14091800 12076000 2015800 1234.390329 1057.813595 176.5767344 0.14304773
Cavarzere 389 1999 15793 7894960 7239140 655820 499.9024884 458.3764959 41.52599253 0.083068185
Ceggia 390 1999 5042 1046640 506210 540430 207.5842919 100.3986513 107.1856406 0.51634755
Chioggia 391 1999 52039 41261500 36975100 4286400 792.8957128 710.5267203 82.36899249 0.103883766
CintoCaomaggiore 392 1999 3146 1443520 1251430 192090 458.8429752 397.7844882 61.05848697 0.13307055
Cona 393 1999 3261 1491480 1456940 34540 457.3689052 446.7770623 10.59184299 0.023158205
ConcordiaSagittaria 394 1999 10561 4933280 4232170 701110 467.1224316 400.7357258 66.3867058 0.142118428
Dolo 395 1999 14524 7087490 3841390 3246100 487.984715 264.4856789 223.4990361 0.458004174
Eraclea 396 1999 12528 7614070 6652240 961830 607.7642082 530.9897829 76.77442529 0.126322716
Fiessod'Artico 397 1999 5749 2139550 1132640 1006910 372.1603757 197.0151331 175.1452427 0.470617653
FossaltadiPiave 398 1999 3933 1644510 1488580 155930 418.1311976 378.4846173 39.64658022 0.094818517
FossaltadiPortogruaro 399 1999 5841 2616820 2270440 346380 448.0089026 388.7074131 59.30148947 0.132366766
Fossò 400 1999 5834 2146390 817509 1328881 367.9105245 140.1283853 227.7821392 0.619123738
Gruaro 401 1999 2661 1197620 1035340 162280 450.0638858 389.0792935 60.98459226 0.135502079
Jesolo 402 1999 22839 31391000 29598600 1792400 1374.447217 1295.967424 78.47979334 0.057099169
Marcon 403 1999 12085 5865920 4204070 1661850 485.3884981 347.8750517 137.5134464 0.283305943
Martellago 404 1999 19202 7750290 3842340 3907950 403.6188939 200.1010311 203.5178627 0.504232745
Meolo 405 1999 5871 1976860 1385590 591270 336.716062 236.0057912 100.7102708 0.299095535
Mira 406 1999 36109 17380400 10382700 6997700 481.331524 287.537733 193.793791 0.402620193
Mirano 407 1999 26227 12326600 8068120 4258480 469.9965684 307.6264918 162.3700766 0.345470771
MusilediPiave 408 1999 10080 3465260 1603330 1861930 343.7757937 159.0605159 184.7152778 0.537313217
Noale 409 1999 14466 6315820 4027970 2287850 436.5975391 278.4439375 158.1536015 0.362241166
NoventadiPiave 410 1999 5845 2676160 2477000 199160 457.8545766 423.7810094 34.07356715 0.074420065
Pianiga 411 1999 8942 3744590 2333120 1411470 418.7642586 260.9170208 157.8472378 0.376935793
Portogruaro 412 1999 24392 11172000 9644960 1527040 458.0190226 395.4148901 62.6041325 0.136684569
Pramaggiore 413 1999 3822 1725260 1492080 233180 451.4024071 390.3924647 61.00994244 0.13515644
Quartod'Altino 414 1999 7185 4420990 3108440 1312550 615.3082811 432.6290884 182.6791928 0.296890515
Salzano 415 1999 11505 4370340 2935430 1434910 379.8644068 255.1438505 124.7205563 0.328329146
SanDonàdiPiave 416 1999 35629 18359800 15084700 3275100 515.3049482 423.3826377 91.92231048 0.178384296
SanMichelealTagliamento 417 1999 11798 17455000 14862700 2592300 1479.488049 1259.764367 219.723682 0.14851332
SantaMariadiSala 418 1999 13143 6606390 4792730 1813660 502.6546451 364.6602754 137.9943696 0.274531174
SantoStinodiLivenza 419 1999 11616 5260210 4535650 724560 452.84177 390.4657369 62.37603306 0.13774355
Scorzè 420 1999 16851 7484380 4238460 3245920 444.1504955 251.5257255 192.62477 0.43369257
Spinea 421 1999 24834 11791100 6301790 5489310 474.7966498 253.7565434 221.0401063 0.465546896
Stra 422 1999 6887 3492260 2973570 518690 507.0800058 431.7656454 75.31436039 0.148525597
TeglioVeneto 423 1999 2009 910528 806042 104486 453.2244898 401.2155301 52.00895968 0.114753198
TorrediMosto 424 1999 4238 1529500 1413560 115940 360.9013686 333.5441246 27.35724398 0.07580255
Venezia 425 1999 285643 200094000 160036000 40058000 700.5037757 560.2657863 140.2379894 0.200195908
Vigonovo 426 1999 7966 2279530 1068820 1210710 286.157419 134.1727341 151.9846849 0.531122644
Cavallino-Treporti 581 1999 NA NA NA NA 700.5037757 560.2657863 140.2379894 0.200195908
AnnoneVeneto 384 2000 3466 1671180 1345120 326060 482.1638777 388.0900173 94.07386036 0.195107648
CampagnaLupia 385 2000 6230 2024200 1178470 845730 324.9117175 189.1605136 135.7512039 0.417809505
CampolongoMaggiore 386 2000 9102 2838750 1697480 1141270 311.882004 186.4952758 125.3867282 0.402032585
Camponogara 387 2000 10885 3556540 1810680 1745860 326.7377124 166.3463482 160.3913643 0.490887211
Caorle 388 2000 11506 14113800 12644200 1469600 1226.646967 1098.922301 127.7246654 0.104125041
Cavarzere 389 2000 15589 7662380 6686240 976140 491.5247931 428.907563 62.6172301 0.127393838
Ceggia 390 2000 5098 1235950 500335 735615 242.4382111 98.14338956 144.2948215 0.595181844
Chioggia 391 2000 51898 27767800 21945200 5822600 535.0456665 422.8525184 112.1931481 0.20968892
CintoCaomaggiore 392 2000 3165 1428770 1226600 202170 451.4281201 387.5513428 63.87677725 0.141499332
Cona 393 2000 3299 1072150 528800 543350 324.9924219 160.2909973 164.7014247 0.506785431
ConcordiaSagittaria 394 2000 10556 5021710 4126240 895470 475.720917 390.8904888 84.83042819 0.178319736
Dolo 395 2000 14522 7357610 4200070 3157540 506.6526649 289.2211817 217.4314833 0.429152945
Eraclea 396 2000 12479 9716280 8869780 846500 778.6104656 710.7765045 67.83396105 0.08712182
Fiessod'Artico 397 2000 5749 1982740 1012900 969840 344.8843277 176.187163 168.6971647 0.489141289
FossaltadiPiave 398 2000 3929 1679590 1493290 186300 427.4853652 380.0687198 47.41664546 0.110919927
FossaltadiPortogruaro 399 2000 5835 2761000 2277350 483650 473.1790917 390.2913453 82.88774636 0.175172039
Fossò 400 2000 5939 2227060 874756 1352304 374.9890554 147.2901162 227.6989392 0.607214893
Gruaro 401 2000 2693 1208510 1037500 171010 448.7597475 385.2580765 63.501671 0.141504828
Jesolo 402 2000 22936 31592600 26650400 4942200 1377.424137 1161.946285 215.4778514 0.156435368
Marcon 403 2000 12136 6190940 4334920 1856020 510.1301912 357.195122 152.9350692 0.299796154
Martellago 404 2000 19497 8938460 4745950 4192510 458.4530953 243.4195004 215.0335949 0.469041647
Meolo 405 2000 5969 2139090 1362230 776860 358.3665606 228.2174569 130.1491037 0.363173125
Mira 406 2000 36118 18754200 11513800 7240400 519.2480204 318.7828783 200.465142 0.386068187
Mirano 407 2000 26193 13348900 8858130 4490770 509.6361623 338.1869202 171.4492422 0.336414986
MusilediPiave 408 2000 10232 3946090 1722770 2223320 385.6616497 168.3707975 217.2908522 0.563423541
Noale 409 2000 14612 6829710 4356010 2473700 467.4041883 298.1118259 169.2923624 0.362196931
NoventadiPiave 410 2000 5864 2116730 988380 1128350 360.9703274 168.5504775 192.4198499 0.53306279
Pianiga 411 2000 9096 3742840 2269170 1473670 411.4819701 249.4689974 162.0129727 0.393730429
Portogruaro 412 2000 24354 11124800 9527060 1597740 456.7955983 391.1907695 65.60482878 0.143619661
Pramaggiore 413 2000 3942 1788750 1490160 298590 453.7671233 378.021309 75.74581431 0.166926625
Quartod'Altino 414 2000 7224 4907640 3482300 1425340 679.3521595 482.0459579 197.3062016 0.290432876
Salzano 415 2000 11577 4777190 3362350 1414840 412.6448994 290.4336184 122.211281 0.296165738
SanDonàdiPiave 416 2000 36046 19517600 14650800 4866800 541.4636853 406.4473173 135.016368 0.249354429
SanMichelealTagliamento 417 2000 11767 20027900 16463900 3564000 1702.039602 1399.158664 302.8809382 0.177951757
SantaMariadiSala 418 2000 13426 6763710 4834820 1928890 503.7769999 360.1087442 143.6682556 0.285182245
SantoStinodiLivenza 419 2000 11648 5248690 4528980 719710 450.6086882 388.8203984 61.78828984 0.137121834
Scorzè 420 2000 17175 7720800 4413210 3307590 449.5371179 256.9554585 192.5816594 0.428399907
Spinea 421 2000 24774 12355000 7256140 5098860 498.7083232 292.8933559 205.8149673 0.412696074
Stra 422 2000 6969 2923400 2093590 829810 419.4862965 300.4146936 119.0716028 0.283850995
TeglioVeneto 423 2000 2018 911944 782901 129043 451.9048563 387.9588702 63.94598612 0.141503206
TorrediMosto 424 2000 4305 971709 746680 225029 225.7163763 173.4448316 52.27154472 0.231580648
