Comune Codice Anno Popolazione TotaleCOM ResiduoCOM DifferenziataCOM TotalePC ResiduoPC DifferenziataPC CoeffDiff
Marcon 403 2008 14.856 9.684.680 4.887.200 4.797.480 651.903608 328.9714593 322.9321486 0.495367942
Martellago 404 2008 21.032 10.971.700 5.506.220 5.465.480 521.6669836 261.802016 259.8649677 0.498143405
Meolo 405 2008 6.442 3.442.700 1.653.220 1.789.480 534.414778 256.6314809 277.7832971 0.5197897
Mira 406 2008 38.788 21.242.100 12.675.100 8.567.000 547.6461792 326.7789007 220.8672785 0.403302875
Mirano 407 2008 26.667 15.705.100 9.456.380 6.248.720 588.9338883 354.6098174 234.3240709 0.397878396
MusilediPiave 408 2008 11.395 4.814.660 1.488.780 3.325.880 422.523914 130.6520404 291.8718736 0.690781904
Noale 409 2008 15.719 8.666.400 4.842.600 3.823.800 551.332782 308.0730326 243.2597493 0.441221268
NoventadiPiave 410 2008 6.599 3.542.540 1.020.240 2.522.300 536.8298227 154.6052432 382.2245795 0.712003252
Pianiga 411 2008 11.554 4.638.500 1.250.680 3.387.820 401.4626969 108.2464947 293.2162022 0.730369732
Portogruaro 412 2008 25.359 13.404.100 7.012.190 6.391.910 528.5736819 276.5168185 252.0568634 0.476862303
Pramaggiore 413 2008 4.670 1.749.550 423.820 1.325.730 374.6359743 90.75374732 283.882227 0.757754851
Quartod'Altino 414 2008 8.007 5.601.220 2.665.440 2.935.780 699.5404021 332.8887224 366.6516798 0.524132243
Salzano 415 2008 12.441 4.030.550 1.610.950 2.419.600 323.9731533 129.4871795 194.4859738 0.600315093
SanDonàdiPiave 416 2008 40.735 21.061.300 6.515.290 14.546.010 517.0320363 159.943292 357.0887443 0.690651099
SanMichelealTagliamento 417 2008 11.938 20.355.200 9.677.270 10.677.930 1705.076227 810.6274083 894.4488189 0.52457996
SantaMariadiSala 418 2008 17.071 9.814.100 5.934.200 3.879.900 574.8989514 347.6187687 227.2801828 0.395339359
SantoStinodiLivenza 419 2008 13.006 4.891.980 1.224.820 3.667.160 376.1325542 94.1734584 281.9590958 0.74962694
Scorzè 420 2008 19.011 10.105.300 5.315.780 4.789.520 531.5501552 279.6160118 251.9341434 0.473961189
Spinea 421 2008 26.268 12.794.300 7.016.310 5.777.990 487.0679153 267.1048424 219.9630729 0.451606575
Stra 422 2008 7.656 2.972.930 1.125.070 1.847.860 388.3137409 146.9527168 241.361024 0.621561893
TeglioVeneto 423 2008 2.276 789.103 196.277 592.826 346.7060633 86.23769772 260.4683656 0.751265678
TorrediMosto 424 2008 4.703 1.913.520 548.340 1.365.180 406.8722092 116.5936636 290.2785456 0.713439107
Venezia 425 2008 270.098 206.747.000 141.468.000 65.279.000 765.451799 523.7654481 241.6863509 0.315743397
Vigonovo 426 2008 9.752 4.307.540 2.049.340 2.258.200 441.7083675 210.1456112 231.5627564 0.524243536
Cavallino-Treporti 581 2008 13.288 17.982.500 12.749.600 5.232.900 1353.288682 959.4822396 393.8064419 0.290999583
AnnoneVeneto 384 2009 3.961 1.443.920 374.800 1.069.120 364.5342085 94.62257006 269.9116385 0.740428833
CampagnaLupia 385 2009 6.983 2.826.990 1.063.400 1.763.590 404.8388945 152.2841186 252.5547759 0.623840198
CampolongoMaggiore 386 2009 10.177 3.846.790 1.488.780 2.358.010 377.9886017 146.2886902 231.6999116 0.612981213
Camponogara 387 2009 12.736 4.445.770 1.786.890 2.658.880 349.0711369 140.3022927 208.7688442 0.598069626
Caorle 388 2009 12.016 15.759.100 9.153.800 6.605.300 1311.509654 761.8009321 549.7087217 0.419141956
Ceggia 390 2009 6.201 2.297.740 444.400 1.853.340 370.5434607 71.66586035 298.8776004 0.806592565
CintoCaomaggiore 392 2009 3.299 1.079.060 254.440 824.620 327.0869961 77.12640194 249.9605941 0.764202176
ConcordiaSagittaria 394 2009 10.684 4.417.710 1.208.720 3.208.990 413.4883939 113.1336578 300.3547361 0.726392181
Dolo 395 2009 15.078 8.530.490 4.109.240 4.421.250 565.7573949 272.5321661 293.2252288 0.51828793
Eraclea 396 2009 12.844 7.250.940 2.720.320 4.530.620 564.5390844 211.796948 352.7421364 0.624832091
Fiessod'Artico 397 2009 7.505 2.830.140 1.021.400 1.808.740 377.1005996 136.095936 241.0046636 0.639099126
FossaltadiPiave 398 2009 4.247 1.817.860 520.550 1.297.310 428.0339063 122.5688721 305.4650341 0.713646815
FossaltadiPortogruaro 399 2009 6.051 3.169.060 830.315 2.338.745 523.7250041 137.2194679 386.5055363 0.737993285
Fossò 400 2009 6.736 2.951.340 1.108.950 1.842.390 438.1442993 164.6303444 273.5139549 0.624255423
Gruaro 401 2009 2.823 1.249.680 313.220 936.460 442.6780021 110.952887 331.7251151 0.749359836
Jesolo 402 2009 25.232 30.483.400 18.722.600 11.760.800 1208.124604 742.0180723 466.1065314 0.385809982
Marcon 403 2009 15.425 8.915.980 2.653.320 6.262.660 578.0213938 172.0142626 406.0071313 0.702408485
Martellago 404 2009 21.223 10.815.200 5.314.300 5.500.900 509.5980776 250.4028648 259.1952127 0.508626748
Meolo 405 2009 6.476 3.497.750 1.625.610 1.872.140 540.1096356 251.0206918 289.0889438 0.535241227
Mira 406 2009 38.857 20.739.200 12.145.600 8.593.600 533.731374 312.5717374 221.1596366 0.414365067
Mirano 407 2009 26.795 15.954.800 9.351.200 6.603.600 595.4394477 348.9904833 246.4489644 0.413894251
MusilediPiave 408 2009 11.504 4.711.910 1.414.590 3.297.320 409.5888387 122.9650556 286.623783 0.699784164
Noale 409 2009 15.749 8.538.450 4.725.270 3.813.180 542.1582323 300.0361928 242.1220395 0.446589252
NoventadiPiave 410 2009 6.721 3.418.300 1.037.230 2.381.070 508.5999107 154.3267371 354.2731736 0.696565544
Pianiga 411 2009 11.737 4.730.010 1.413.250 3.316.760 402.9999148 120.4098151 282.5900997 0.701216276
Portogruaro 412 2009 25.406 11.303.100 3.255.730 8.047.370 444.8988428 128.1480753 316.7507675 0.71196132
Pramaggiore 413 2009 4.710 1.725.200 408.520 1.316.680 366.2845011 86.73460722 279.5498938 0.763204266
Quartod'Altino 414 2009 8.077 4.223.880 985.900 3.237.980 522.9515909 122.062647 400.8889439 0.766589013
Salzano 415 2009 12.644 4.200.360 1.600.300 2.600.060 332.2018349 126.5659601 205.6358747 0.619008847
SanDonàdiPiave 416 2009 41.247 20.578.300 5.962.580 14.615.720 498.9041627 144.5579072 354.3462555 0.710249146
SanMichelealTagliamento 417 2009 12.040 19.617.200 8.794.750 10.822.450 1629.335548 730.4609635 898.8745847 0.551681687
SantaMariadiSala 418 2009 17.226 9.667.420 5.686.290 3.981.130 561.2109602 330.0992685 231.1116916 0.411808942
SantoStinodiLivenza 419 2009 13.027 4.888.290 1.337.610 3.550.680 375.2429569 102.6798188 272.5631381 0.726364434
Scorzè 420 2009 19.032 9.937.130 5.157.960 4.779.170 522.1274695 271.0151324 251.1123371 0.480940674
Spinea 421 2009 26.674 12.293.200 6.571.780 5.721.420 460.8682612 246.3739972 214.4942641 0.465413399
Stra 422 2009 7.636 2.955.320 1.062.000 1.893.320 387.0246202 139.0780513 247.9465689 0.640648052
TeglioVeneto 423 2009 2.297 759.643 209.040 550.603 330.7109273 91.00565956 239.7052677 0.724818105
TorrediMosto 424 2009 4.743 1.949.350 565.340 1.384.010 410.9951507 119.1946026 291.8005482 0.70998538
Venezia 425 2009 270.801 193.735.000 133.600.000 60.135.000 715.4146403 493.3512062 222.063434 0.310398224
Vigonovo 426 2009 9.917 4.286.100 1.998.960 2.287.140 432.1972371 201.5690229 230.6282142 0.533617974
Cavallino-Treporti 581 2009 13.408 18.110.800 12.377.800 5.733.000 1350.745823 923.1652745 427.5805489 0.31655145
AnnoneVeneto 384 2010 3.995 1.429.090 377.860 1.051.230 357.7196496 94.58322904 263.1364205 0.735593979
CampagnaLupia 385 2010 6.992 3.051.940 1.091.840 1.960.100 436.4902746 156.1556064 280.3346682 0.642247226
CampolongoMaggiore 386 2010 10.300 4.071.010 1.508.610 2.562.400 395.2436893 146.4669903 248.776699 0.629426113
Camponogara 387 2010 12.958 4.621.880 1.703.200 2.918.680 356.6815867 131.440037 225.2415496 0.631491947
Caorle 388 2010 12.032 16.383.200 9.284.820 7.098.380 1361.635638 771.6771941 589.9584441 0.433271888
Ceggia 390 2010 6.266 2.251.670 422.230 1.829.440 359.347271 67.3842962 291.9629748 0.812481403
CintoCaomaggiore 392 2010 3.327 1.158.680 252.590 906.090 348.2657048 75.92125038 272.3444545 0.782001933
ConcordiaSagittaria 394 2010 10.716 4.536.900 1.305.820 3.231.080 423.3762598 121.8570362 301.5192236 0.712177919
Dolo 395 2010 15.188 8.779.070 4.016.060 4.763.010 578.0267316 264.4232289 313.6035028 0.542541522
Eraclea 396 2010 12.799 7.505.700 2.736.870 4.768.830 586.4286272 213.8346746 372.5939527 0.635361126
Fiessod'Artico 397 2010 7.786 2.949.660 1.120.780 1.828.880 378.8415104 143.948112 234.8933984 0.620030783
FossaltadiPiave 398 2010 4.222 1.995.120 580.390 1.414.730 472.5532923 137.4680246 335.0852676 0.709095192
FossaltadiPortogruaro 399 2010 6.080 3.200.260 818.570 2.381.690 526.3585526 134.6332237 391.7253289 0.744217657
Fossò 400 2010 6.814 3.160.600 1.060.640 2.099.960 463.8391547 155.6560023 308.1831523 0.664418148
Gruaro 401 2010 2.831 1.248.590 306.160 942.430 441.0420346 108.1455316 332.896503 0.754795409
Jesolo 402 2010 25.601 30.632.800 17.976.000 12.656.800 1196.54701 702.1600719 494.386938 0.413178031
Marcon 403 2010 15.938 9.582.980 2.915.500 6.667.480 601.2661564 182.9275944 418.3385619 0.695762696
Martellago 404 2010 21.279 11.188.400 5.489.190 5.699.210 525.7953851 257.9627802 267.8326049 0.509385614
Meolo 405 2010 6.566 3.664.710 1.791.940 1.872.770 558.1343284 272.9119708 285.2223576 0.511028158
Mira 406 2010 38.952 21.640.000 11.828.800 9.811.200 555.5555556 303.6763196 251.879236 0.453382625
Mirano 407 2010 27.077 16.752.000 9.490.530 7.261.470 618.6800606 350.5015327 268.1785279 0.43346884
MusilediPiave 408 2010 11.578 5.018.930 1.513.610 3.505.320 433.4885127 130.7315599 302.7569528 0.698419783
Noale 409 2010 15.855 8.961.100 4.757.230 4.203.870 565.1907915 300.0460423 265.1447493 0.469124326
NoventadiPiave 410 2010 6.849 3.590.010 1.129.210 2.460.800 524.1655716 164.8722441 359.2933275 0.685457701
Pianiga 411 2010 11.927 5.100.020 1.479.690 3.620.330 427.6029177 124.0622118 303.540706 0.709865844
Portogruaro 412 2010 25.440 11.494.200 3.347.140 8.147.060 451.8160377 131.5699686 320.2460692 0.70879748
Pramaggiore 413 2010 4.714 1.771.040 463.650 1.307.390 375.6979211 98.35596097 277.3419601 0.738204671
Quartod'Altino 414 2010 8.212 3.741.640 1.118.580 2.623.060 455.6307842 136.2128592 319.417925 0.701045531
Salzano 415 2010 12.727 4.334.660 1.626.940 2.707.720 340.5877269 127.8337393 212.7539876 0.624667217
SanDonàdiPiave 416 2010 41.592 21.470.700 6.182.250 15.288.450 516.2218696 148.6403635 367.5815061 0.712061088
SanMichelealTagliamento 417 2010 12.103 19.360.500 8.825.470 10.535.030 1599.644716 729.1968933 870.4478229 0.544150719
SantaMariadiSala 418 2010 17.278 9.299.890 5.189.850 4.110.040 538.2503762 300.3733071 237.8770691 0.441945012
SantoStinodiLivenza 419 2010 13.088 5.166.770 1.467.150 3.699.620 394.7715465 112.0988692 282.6726773 0.716041163
Scorzè 420 2010 19.052 10.575.400 5.444.680 5.130.720 555.0808314 285.7799706 269.3008608 0.485156117
Spinea 421 2010 27.041 12.993.000 6.913.820 6.079.180 480.4925853 255.6791539 224.8134315 0.467881167
Stra 422 2010 7.574 2.926.640 1.087.760 1.838.880 386.4061262 143.6176393 242.7884869 0.628324632
TeglioVeneto 423 2010 2.316 745.364 210.650 534.714 321.8324698 90.95423143 230.8782383 0.717386404
TorrediMosto 424 2010 4.766 1.963.500 532.240 1.431.260 411.9806966 111.6743601 300.3063366 0.728933028
Venezia 425 2010 270.884 192.164.000 127.817.000 64.347.000 709.3959038 471.8514198 237.544484 0.334854603
Vigonovo 426 2010 10.078 4.425.760 2.088.020 2.337.740 439.1506251 207.1859496 231.9646755 0.528212104
Cavallino-Treporti 581 2010 13.493 16.577.200 6.177.530 10.399.670 1228.577781 457.8322093 770.7455718 0.627347803
AnnoneVeneto 384 2011 3.995 1.304.270 335.331 968.939 326.4755945 83.93767209 242.5379224 0.74289756
CampagnaLupia 385 2011 7.043 2.973.761 1.002.851 1.970.910 422.2293057 142.3897487 279.839557 0.662766779
CampolongoMaggiore 386 2011 10.400 3.934.962 1.405.112 2.529.850 378.3617308 135.1069231 243.2548077 0.642915993
Camponogara 387 2011 13.082 4.534.047 1.671.159 2.862.888 346.586684 127.7449167 218.8417673 0.63142001
Caorle 388 2011 12.032 15.826.836 8.886.224 6.940.612 1315.395279 738.5492021 576.8460771 0.438534398
Ceggia 390 2011 6.316 2.126.786 421.900 1.704.886 336.7298923 66.79860671 269.9312856 0.801625551
CintoCaomaggiore 392 2011 3.327 998.788 222.741 776.047 300.2067929 66.94950406 233.2572888 0.77698871
ConcordiaSagittaria 394 2011 10.716 4.028.022 1.145.359 2.882.663 375.8885778 106.883072 269.0055058 0.715652248
Dolo 395 2011 15.276 8.143.862 3.595.461 4.548.401 533.1148206 235.3666536 297.7481671 0.55850664
Eraclea 396 2011 12.799 6.825.374 2.470.510 4.354.864 533.2740058 193.0236737 340.2503321 0.638040348
Fiessod'Artico 397 2011 7.788 2.901.075 1.078.600 1.822.475 372.5057781 138.4951207 234.0106574 0.628206785
FossaltadiPiave 398 2011 4.258 1.888.696 540.060 1.348.636 443.5641146 126.8341945 316.7299202 0.714056682
FossaltadiPortogruaro 399 2011 6.134 2.943.508 760.700 2.182.808 479.8676231 124.0136942 355.8539289 0.741566865
Fossò 400 2011 6.929 2.966.491 921.322 2.045.169 428.1268581 132.9660846 295.1607736 0.689423632
Gruaro 401 2011 2.833 1.175.147 270.538 904.609 414.8065655 95.49523473 319.3113307 0.769783695
Jesolo 402 2011 25.800 30.705.503 17.722.455 12.983.048 1190.135775 686.9168605 503.2189147 0.422824795
Marcon 403 2011 16.387 8.891.541 2.673.830 6.217.711 542.5972417 163.1677549 379.4294868 0.699283847
Martellago 404 2011 21.395 10.827.193 4.350.330 6.476.863 506.0618369 203.3339565 302.7278803 0.598203339
Meolo 405 2011 6.552 3.329.849 1.657.770 1.672.079 508.2187118 253.0173993 255.2013126 0.502148596
Mira 406 2011 39.081 19.855.671 9.767.880 10.087.791 508.0645582 249.9393567 258.1252015 0.50805591
Mirano 407 2011 27.164 15.038.911 7.689.280 7.349.631 553.6338904 283.0687675 270.565123 0.48870766
MusilediPiave 408 2011 11.677 4.837.307 1.513.420 3.323.887 414.2593988 129.6069196 284.6524792 0.687135838
Noale 409 2011 15.885 8.002.584 3.891.140 4.111.444 503.7824363 244.9568776 258.8255587 0.513764554
NoventadiPiave 410 2011 6.998 3.340.992 1.090.200 2.250.792 477.4209774 155.7873678 321.6336096 0.67368973
Pianiga 411 2011 12.096 4.858.947 1.376.904 3.482.043 401.6986607 113.8313492 287.8673115 0.716625022
Portogruaro 412 2011 25.440 10.927.615 3.190.020 7.737.595 429.5446148 125.3938679 304.1507469 0.708077197
Pramaggiore 413 2011 4.699 1.637.738 416.163 1.221.575 348.5290487 88.56416259 259.9648861 0.745891589
Quartod'Altino 414 2011 8.308 3.808.806 1.072.870 2.735.936 458.4504092 129.1369764 329.3134328 0.718318549
Salzano 415 2011 12.780 4.087.295 1.421.368 2.665.927 319.8196401 111.2181534 208.6014867 0.652247269
SanDonàdiPiave 416 2011 41.917 20.377.716 5.905.160 14.472.556 486.1444283 140.8774483 345.26698 0.710214825
SanMichelealTagliamento 417 2011 12.130 18.093.135 8.514.120 9.579.015 1491.602226 701.9060181 789.6962077 0.529428151
SantaMariadiSala 418 2011 17.488 8.556.369 4.102.007 4.454.362 489.2708715 234.561242 254.7096295 0.520590218
SantoStinodiLivenza 419 2011 13.088 4.436.625 1.251.362 3.185.263 338.984184 95.61139976 243.3727842 0.717947314
Scorzè 420 2011 19.062 9.897.947 4.903.460 4.994.487 519.2501836 257.2374357 262.0127479 0.504598277
Spinea 421 2011 27.447 12.247.380 5.865.720 6.381.660 446.2192589 213.7107881 232.5084709 0.52106328
Stra 422 2011 7.633 2.664.936 869.522 1.795.414 349.1334993 113.9161535 235.2173457 0.673717493
TeglioVeneto 423 2011 2.333 714.581 183.322 531.259 306.2927561 78.57779683 227.7149593 0.743455256
TorrediMosto 424 2011 4.758 1.661.633 387.840 1.273.793 349.229298 81.51324086 267.7160572 0.766591058
Venezia 425 2011 270.589 180.045.050 118.317.090 61.727.960 665.382 437.2575751 228.1244249 0.342847304
Vigonovo 426 2011 10.166 4.312.225 1.977.612 2.334.613 424.1810938 194.5319693 229.6491245 0.54139406
Cavallino-Treporti 581 2011 13.610 18.264.417 6.302.120 11.962.297 1341.985084 463.050698 878.9343865 0.654950935
Lido(A) 582 1997 NA NA NA NA 592.1744726 503.7704566 88.40401592 0.14928711
Pellestrina(A) 583 1997 NA NA NA NA 592.1744726 503.7704566 88.40401592 0.14928711
Murano(A) 584 1997 NA NA NA NA 592.1744726 503.7704566 88.40401592 0.14928711
Castello(A) 585 1997 NA NA NA NA 592.1744726 503.7704566 88.40401592 0.14928711
Lido(A) 582 1998 NA NA NA NA 649.8382676 525.9200565 123.9182111 0.190690849
Pellestrina(A) 583 1998 NA NA NA NA 649.8382676 525.9200565 123.9182111 0.190690849
Murano(A) 584 1998 NA NA NA NA 649.8382676 525.9200565 123.9182111 0.190690849
Castello(A) 585 1998 NA NA NA NA 649.8382676 525.9200565 123.9182111 0.190690849
Lido(A) 582 1999 NA NA NA NA 700.5037757 560.2657863 140.2379894 0.200195908
Pellestrina(A) 583 1999 NA NA NA NA 700.5037757 560.2657863 140.2379894 0.200195908
Murano(A) 584 1999 NA NA NA NA 700.5037757 560.2657863 140.2379894 0.200195908
Castello(A) 585 1999 NA NA NA NA 700.5037757 560.2657863 140.2379894 0.200195908
Lido(A) 582 2000 NA NA NA NA 717.7685747 584.0711081 133.6974666 0.186268209
Pellestrina(A) 583 2000 NA NA NA NA 717.7685747 584.0711081 133.6974666 0.186268209
Murano(A) 584 2000 NA NA NA NA 717.7685747 584.0711081 133.6974666 0.186268209
Castello(A) 585 2000 NA NA NA NA 717.7685747 584.0711081 133.6974666 0.186268209
Lido(A) 582 2001 NA NA NA NA 767.5694025 608.5775812 158.9918213 0.207136737
Pellestrina(A) 583 2001 NA NA NA NA 767.5694025 608.5775812 158.9918213 0.207136737
Murano(A) 584 2001 NA NA NA NA 767.5694025 608.5775812 158.9918213 0.207136737
Castello(A) 585 2001 NA NA NA NA 767.5694025 608.5775812 158.9918213 0.207136737
Lido(A) 582 2002 NA NA NA NA 676.2165852 555.2072591 121.0093261 0.178950544
Pellestrina(A) 583 2002 NA NA NA NA 676.2165852 555.2072591 121.0093261 0.178950544
Murano(A) 584 2002 NA NA NA NA 676.2165852 555.2072591 121.0093261 0.178950544
Castello(A) 585 2002 NA NA NA NA 676.2165852 555.2072591 121.0093261 0.178950544
Lido(A) 582 2003 NA NA NA NA 691.2240533 576.0335416 115.1905118 0.16664714
Pellestrina(A) 583 2003 NA NA NA NA 691.2240533 576.0335416 115.1905118 0.16664714
Murano(A) 584 2003 NA NA NA NA 691.2240533 576.0335416 115.1905118 0.16664714
Castello(A) 585 2003 NA NA NA NA 691.2240533 576.0335416 115.1905118 0.16664714
Lido(A) 582 2004 NA NA NA NA 706.2241245 586.1102816 120.1138429 0.170078929
Pellestrina(A) 583 2004 NA NA NA NA 706.2241245 586.1102816 120.1138429 0.170078929
Murano(A) 584 2004 NA NA NA NA 706.2241245 586.1102816 120.1138429 0.170078929
Castello(A) 585 2004 NA NA NA NA 706.2241245 586.1102816 120.1138429 0.170078929
Lido(A) 582 2005 NA NA NA NA 715.4051449 579.0903699 136.314775 0.190542067
Pellestrina(A) 583 2005 NA NA NA NA 715.4051449 579.0903699 136.314775 0.190542067
Murano(A) 584 2005 NA NA NA NA 715.4051449 579.0903699 136.314775 0.190542067
Castello(A) 585 2005 NA NA NA NA 715.4051449 579.0903699 136.314775 0.190542067
Lido(A) 582 2006 NA NA NA NA 758.260391 576.5540988 181.7062923 0.239635743
Pellestrina(A) 583 2006 NA NA NA NA 758.260391 576.5540988 181.7062923 0.239635743
Murano(A) 584 2006 NA NA NA NA 758.260391 576.5540988 181.7062923 0.239635743
Castello(A) 585 2006 NA NA NA NA 758.260391 576.5540988 181.7062923 0.239635743
Lido(A) 582 2007 NA NA NA NA 775.6447194 563.7841877 211.8605317 0.273141203
Pellestrina(A) 583 2007 NA NA NA NA 775.6447194 563.7841877 211.8605317 0.273141203
Murano(A) 584 2007 NA NA NA NA 775.6447194 563.7841877 211.8605317 0.273141203
Castello(A) 585 2007 NA NA NA NA 775.6447194 563.7841877 211.8605317 0.273141203
Lido(A) 582 2008 NA NA NA NA 765.451799 523.7654481 241.6863509 0.315743397
Pellestrina(A) 583 2008 NA NA NA NA 765.451799 523.7654481 241.6863509 0.315743397
Murano(A) 584 2008 NA NA NA NA 765.451799 523.7654481 241.6863509 0.315743397
Castello(A) 585 2008 NA NA NA NA 765.451799 523.7654481 241.6863509 0.315743397
Lido(A) 582 2009 NA NA NA NA 715.4146403 493.3512062 222.063434 0.310398224
Pellestrina(A) 583 2009 NA NA NA NA 715.4146403 493.3512062 222.063434 0.310398224
Murano(A) 584 2009 NA NA NA NA 715.4146403 493.3512062 222.063434 0.310398224
Castello(A) 585 2009 NA NA NA NA 715.4146403 493.3512062 222.063434 0.310398224
Lido(A) 582 2010 NA NA NA NA 709.3959038 471.8514198 237.544484 0.334854603
Pellestrina(A) 583 2010 NA NA NA NA 709.3959038 471.8514198 237.544484 0.334854603
Murano(A) 584 2010 NA NA NA NA 709.3959038 471.8514198 237.544484 0.334854603
Castello(A) 585 2010 NA NA NA NA 709.3959038 471.8514198 237.544484 0.334854603
Lido(A) 582 2011 NA NA NA NA 665.382 437.2575751 228.1244249 0.342847304
Pellestrina(A) 583 2011 NA NA NA NA 665.382 437.2575751 228.1244249 0.342847304
Murano(A) 584 2011 NA NA NA NA 665.382 437.2575751 228.1244249 0.342847304
Castello(A) 585 2011 NA NA NA NA 665.382 437.2575751 228.1244249 0.342847304
