Comune Codice Anno Popolazione TotaleCOM ResiduoCOM DifferenziataCOM TotalePC ResiduoPC DifferenziataPC CoeffDiff
TorrediMosto 424 2004 4.516 2.575.700 1.320.280 1.255.420 570.3498671 292.3560673 277.9937998 0.487409248
Venezia 425 2004 271.251 191.564.000 158.983.000 32.581.000 706.2241245 586.1102816 120.1138429 0.170078929
Vigonovo 426 2004 8.766 3.690.880 1.870.260 1.820.620 421.0449464 213.3538672 207.6910792 0.493275316
Cavallino-Treporti 581 2004 12.360 14.004.400 9.585.220 4.419.180 1133.042071 775.5032362 357.538835 0.315556539
AnnoneVeneto 384 2005 3.791 1.717.320 1.143.800 573.520 452.9992087 301.7145872 151.2846215 0.33396222
CampagnaLupia 385 2005 6.703 2.578.700 985.640 1.593.060 384.7083395 147.0446069 237.6637327 0.617776399
CampolongoMaggiore 386 2005 9.627 3.537.150 1.617.650 1.919.500 367.4197569 168.0326166 199.3871403 0.542668533
Camponogara 387 2005 11.938 4.374.860 1.845.260 2.529.600 366.4650695 154.5702798 211.8947897 0.578212789
Caorle 388 2005 11.896 15.835.900 11.968.500 3.867.400 1331.19536 1006.094486 325.1008742 0.244217253
Ceggia 390 2005 5.506 1.641.700 465.800 1.175.900 298.1656375 84.59861969 213.5670178 0.71626972
CintoCaomaggiore 392 2005 3.264 1.068.920 499.865 569.055 327.4877451 153.1449142 174.3428309 0.532364443
ConcordiaSagittaria 394 2005 10.706 5.324.670 4.035.150 1.289.520 497.3538203 376.9054736 120.4483467 0.242178389
Dolo 395 2005 14.671 8.397.250 4.389.510 4.007.740 572.3706632 299.1963738 273.1742894 0.477268153
Eraclea 396 2005 12.679 6.995.090 3.767.300 3.227.790 551.7067592 297.1291111 254.5776481 0.461436522
Fiessod'Artico 397 2005 6.655 2.619.920 1.072.170 1.547.750 393.6769346 161.107438 232.5694966 0.590762313
FossaltadiPiave 398 2005 4.238 1.699.100 498.360 1.200.740 400.9202454 117.5932043 283.3270411 0.706691778
FossaltadiPortogruaro 399 2005 5.943 3.166.880 1.889.610 1.277.270 532.875652 317.955578 214.920074 0.40332125
Fossò 400 2005 6.247 2.852.720 1.059.680 1.793.040 456.6543941 169.6302225 287.0241716 0.628536975
Gruaro 401 2005 2.744 1.508.160 975.811 532.349 549.6209913 355.6162536 194.0047376 0.352979127
Jesolo 402 2005 23.766 29.557.900 22.182.700 7.375.200 1243.705293 933.3796179 310.3256753 0.24951705
Marcon 403 2005 13.219 9.050.420 5.476.100 3.574.320 684.6523943 414.2597776 270.3926167 0.394934158
Martellago 404 2005 20.014 10.497.400 5.423.580 5.073.820 524.502848 270.9893075 253.5135405 0.483340637
Meolo 405 2005 6.366 2.973.460 1.514.100 1.459.360 467.0845115 237.8416588 229.2428527 0.490795235
Mira 406 2005 37.723 20.896.400 13.025.800 7.870.600 553.9432177 345.3012751 208.6419426 0.376648609
Mirano 407 2005 26.236 15.216.700 9.635.130 5.581.570 579.9931392 367.2484373 212.7447019 0.366805549
MusilediPiave 408 2005 10.797 4.583.240 1.522.300 3.060.940 424.4919885 140.9928684 283.4991201 0.667855055
Noale 409 2005 15.256 7.991.820 4.838.380 3.153.440 523.8476665 317.1460409 206.7016256 0.394583462
NoventadiPiave 410 2005 6.224 2.942.220 857.100 2.085.120 472.7217224 137.7088689 335.0128535 0.708689357
Pianiga 411 2005 10.199 4.010.510 1.215.040 2.795.470 393.2258065 119.1332484 274.0925581 0.697036038
Portogruaro 412 2005 24.992 13.121.000 9.760.450 3.360.550 525.0080026 390.5429738 134.4650288 0.25611996
Pramaggiore 413 2005 4.437 1.963.400 1.225.870 737.530 442.5061979 276.2835249 166.222673 0.375639197
Quartod'Altino 414 2005 7.613 4.790.970 2.847.560 1.943.410 629.3143308 374.0391436 255.2751872 0.405640194
Salzano 415 2005 11.828 3.845.820 1.440.490 2.405.330 325.1454177 121.786439 203.3589787 0.625440088
SanDonàdiPiave 416 2005 38.614 19.382.900 7.522.990 11.859.910 501.9656083 194.8254519 307.1401564 0.6118749
SanMichelealTagliamento 417 2005 11.771 18.701.500 13.021.400 5.680.100 1588.777504 1106.227168 482.5503356 0.3037243
SantaMariadiSala 418 2005 15.779 8.679.160 5.643.240 3.035.920 550.0449965 357.6424361 192.4025604 0.34979422
SantoStinodiLivenza 419 2005 12.502 6.101.770 3.936.420 2.165.350 488.0635098 314.8632219 173.200288 0.354872439
Scorzè 420 2005 18.689 9.483.060 5.132.310 4.350.750 507.4139868 274.6166194 232.7973674 0.458791782
Spinea 421 2005 24.798 12.542.900 6.954.430 5.588.470 505.8028873 280.4431809 225.3597064 0.445548478
Stra 422 2005 7.332 2.820.720 1.087.220 1.733.500 384.7135843 148.2842335 236.4293508 0.614559403
TeglioVeneto 423 2005 2.145 1.176.090 805.548 370.542 548.2937063 375.5468531 172.7468531 0.315062623
TorrediMosto 424 2005 4.505 3.025.820 1.429.140 1.596.680 671.6581576 317.2341842 354.4239734 0.527685057
Venezia 425 2005 269.780 193.002.000 156.227.000 36.775.000 715.4051449 579.0903699 136.314775 0.190542067
Vigonovo 426 2005 8.971 3.862.390 1.855.000 2.007.390 430.5417456 206.7773938 223.7643518 0.519727423
Cavallino-Treporti 581 2005 12.554 14.734.900 9.360.720 5.374.180 1173.721523 745.6364505 428.0850725 0.364724565
AnnoneVeneto 384 2006 3.826 1.767.440 1.190.400 577.040 461.9550444 311.134344 150.8207005 0.326483502
CampagnaLupia 385 2006 6.789 2.774.660 1.099.940 1.674.720 408.6993666 162.0179702 246.6813964 0.603576654
CampolongoMaggiore 386 2006 9.764 3.774.020 1.658.800 2.115.220 386.5239656 169.8893896 216.634576 0.560468678
Camponogara 387 2006 12.182 4.293.970 1.921.980 2.371.990 352.4848137 157.7721228 194.7126909 0.552400226
Caorle 388 2006 11.919 15.697.500 12.568.600 3.128.900 1317.01485 1054.501217 262.5136337 0.199324733
Ceggia 390 2006 5.678 1.811.440 381.230 1.430.210 319.0278267 67.14159915 251.8862275 0.789543126
CintoCaomaggiore 392 2006 3.231 943.201 218.314 724.887 291.9223151 67.56855463 224.3537604 0.768539262
ConcordiaSagittaria 394 2006 10.703 5.457.060 4.017.370 1.439.690 509.8626553 375.3499019 134.5127534 0.263821545
Dolo 395 2006 14.644 8.621.290 4.527.850 4.093.440 588.7250751 309.1948921 279.530183 0.474805975
Eraclea 396 2006 12.689 6.951.770 3.004.070 3.947.700 547.8579872 236.7460005 311.1119868 0.567869766
Fiessod'Artico 397 2006 6.740 2.573.020 1.113.110 1.459.910 381.7537092 165.1498516 216.6038576 0.567391625
FossaltadiPiave 398 2006 4.238 1.781.140 539.760 1.241.380 420.2784332 127.3619632 292.91647 0.696958128
FossaltadiPortogruaro 399 2006 5.927 3.286.320 1.944.940 1.341.380 554.466003 328.149148 226.3168551 0.408170842
Fossò 400 2006 6.343 2.821.820 1.124.460 1.697.360 444.8715119 177.275737 267.5957749 0.601512499
Gruaro 401 2006 2.756 1.400.780 817.017 583.763 508.2656023 296.4502903 211.815312 0.416741387
Jesolo 402 2006 23.943 33.931.100 24.330.700 9.600.400 1417.161592 1016.192624 400.968968 0.282938072
Marcon 403 2006 13.726 9.492.370 5.679.920 3.812.450 691.5612706 413.8073729 277.7538977 0.401633101
Martellago 404 2006 20.290 10.999.700 5.704.440 5.295.260 542.1241991 281.1453918 260.9788073 0.481400402
Meolo 405 2006 6.419 3.101.910 1.584.300 1.517.610 483.2388222 246.8141455 236.4246767 0.489250172
Mira 406 2006 37.951 21.946.500 13.348.000 8.598.500 578.2851572 351.7166873 226.5684699 0.39179368
Mirano 407 2006 26.244 15.484.500 9.923.810 5.560.690 590.0205761 378.1363359 211.8842402 0.359113307
MusilediPiave 408 2006 10.891 4.700.390 1.460.000 3.240.390 431.5847948 134.0556423 297.5291525 0.689387476
Noale 409 2006 15.281 8.559.810 4.824.920 3.734.890 560.1603298 315.7463517 244.4139781 0.43632861
NoventadiPiave 410 2006 6.299 3.099.230 914.590 2.184.640 492.0193682 145.1960629 346.8233053 0.704897668
Pianiga 411 2006 10.761 4.215.610 1.247.600 2.968.010 391.7489081 115.9371806 275.8117275 0.70405232
Portogruaro 412 2006 25.121 13.293.900 9.228.050 4.065.850 529.1946977 367.3440548 161.8506429 0.305843282
Pramaggiore 413 2006 4.470 1.689.960 728.252 961.708 378.0671141 162.9199105 215.1472036 0.569071457
Quartod'Altino 414 2006 7.655 4.973.150 2.859.400 2.113.750 649.6603527 373.5336381 276.1267146 0.425032424
Salzano 415 2006 11.988 3.673.110 1.438.750 2.234.360 306.3988989 120.0158492 186.3830497 0.608301957
SanDonàdiPiave 416 2006 39.312 19.752.700 6.544.240 13.208.460 502.4598087 166.4692715 335.9905372 0.668691369
SanMichelealTagliamento 417 2006 11.848 19.266.500 13.218.300 6.048.200 1626.139433 1115.656651 510.4827819 0.313923131
SantaMariadiSala 418 2006 16.164 9.134.530 5.823.090 3.311.440 565.1156892 360.2505568 204.8651324 0.362518925
SantoStinodiLivenza 419 2006 12.592 6.136.040 4.165.180 1.970.860 487.2966963 330.7798602 156.5168361 0.321194125
Scorzè 420 2006 18.834 9.754.360 5.506.390 4.247.970 517.9122863 292.3643411 225.5479452 0.435494487
Spinea 421 2006 25.113 12.965.100 7.364.720 5.600.380 516.2704575 293.2632501 223.0072074 0.431958103
Stra 422 2006 7.399 2.852.880 1.143.050 1.709.830 385.5764292 154.4870929 231.0893364 0.599334707
TeglioVeneto 423 2006 2.215 798.838 302.014 496.824 360.6492099 136.3494357 224.2997743 0.621933358
TorrediMosto 424 2006 4.557 1.740.550 560.370 1.180.180 381.9508449 122.9690586 258.9817863 0.678050042
Venezia 425 2006 268.934 203.922.000 155.055.000 48.867.000 758.260391 576.5540988 181.7062923 0.239635743
Vigonovo 426 2006 9.165 4.162.450 2.028.740 2.133.710 454.1680306 221.3573377 232.8106929 0.51260916
Cavallino-Treporti 581 2006 12.674 18.172.600 12.393.700 5.778.900 1433.848824 977.8838567 455.9649677 0.318000726
AnnoneVeneto 384 2007 3.936 1.820.420 1.131.500 688.920 462.5050813 287.4745935 175.0304878 0.37844014
