Comune Provincia Codice Latitudine Longitudine PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10
RoccaPietore BL 263 46.435278 11.977778 2605 2800 2818 3755 3965 3868 3872 3863 3901 3712 3888 3777 3821 3842
SanGregorionelleAlpi BL 264 46.105556 12.024722 50 50 58 127 123 117 39 54 51 112 66 52 52 103
SanNicolòdiComelico BL 265 46.583611 12.526944 60 60 60 447 446 446 67 91 67 406 202 209 218 257
SanPietrodiCadore BL 266 46.573333 12.586667 386 381 373 1309 1284 1263 480 459 489 1381 795 768 782 859
SantaGiustina BL 267 46.085833 12.041944 92 92 84 97 106 97 86 90 88 132 181 171 171 182
SanTomasoAgordino BL 268 46.381944 11.975278 8 8 8 75 104 98 101 105 101 171 222 196 220 224
SantoStefanodiCadore BL 269 46.559722 12.550278 1084 1057 1050 2463 2463 2472 1050 1062 1082 2479 1704 1642 1685 1857
SanVitodiCadore BL 270 46.465556 12.204444 1423 1442 1467 3925 3960 3937 1395 1394 1397 1826 2116 1967 2026 2656
Sappada BL 271 46.566111 12.678333 1245 1262 1258 2851 2897 2841 1206 1250 1258 2886 2976 2865 2979 3111
Sedico BL 272 46.111667 12.098333 67 67 67 79 87 71 59 82 63 103 152 103 99 99
SelvadiCadore BL 273 46.452500 12.035278 1312 1324 1334 1913 1944 2354 2240 2222 2240 2265 2287 2259 2274 2331
SerendelGrappa BL 274 45.989167 11.846389 43 31 37 99 105 105 87 103 93 182 116 108 108 164
Sospirolo BL 275 46.144167 12.074167 256 256 269 281 284 269 269 269 281 76 41 35 41 43
Soverzene BL 276 46.206389 12.303056 0 0 0 0 0 0 0 0 0 0 0 0 5 5
Sovramonte BL 277 46.062500 11.786389 250 240 200 719 719 715 182 251 190 792 160 133 127 403
TaibonAgordino BL 278 46.300556 12.011111 105 105 105 452 445 452 415 421 427 217 178 174 176 241
Tambre BL 279 46.130833 12.423611 450 454 454 3949 4185 3505 407 405 416 3805 844 818 823 3994
Trichiana BL 280 46.074722 12.131111 41 41 72 45 48 49 49 71 61 70 72 49 63 86
ValladaAgordina BL 281 46.371111 11.931111 82 80 80 486 486 546 545 525 555 414 308 319 319 419
VallediCadore BL 282 46.420556 12.336111 82 88 88 558 572 572 119 148 142 236 321 300 339 325
Vas BL 283 45.940000 11.938333 13 13 13 38 38 38 18 18 18 38 18 18 18 38
VigodiCadore BL 284 46.500278 12.472222 817 765 765 1995 1893 1870 1806 756 1806 1516 1385 1280 1378 1882
VodoCadore BL 285 46.420000 12.246667 40 40 40 528 528 528 241 245 241 156 188 184 176 258
VoltagoAgordino BL 286 46.274722 12.005556 287 287 287 952 923 939 883 914 890 561 495 479 464 525
ZoldoAlto BL 287 46.376389 12.127500 2767 2795 2775 4081 4181 4148 4086 4174 4097 4238 2954 2698 2731 2944
ZoppèdiCadore BL 288 46.388611 12.172222 40 40 40 66 0 45 25 25 25 24 34 14 14 45
Altivole TV 289 45.754444 11.956111 0 0 0 0 0 0 11 19 14 28 52 45 66 66
Arcade TV 290 45.786389 12.219444 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Asolo TV 291 45.804167 11.914167 180 180 180 181 255 257 257 276 290 313 310 295 340 334
BorsodelGrappa TV 292 45.822222 11.800278 97 108 108 108 128 121 121 156 124 211 221 386 388 395
BredadiPiave TV 293 45.724444 12.331389 0 0 0 0 3 0 53 60 60 89 109 98 98 124
CaeranodiSanMarco TV 294 45.787500 12.001944 73 79 83 83 83 106 110 115 110 123 93 84 84 84
CappellaMaggiore TV 295 45.970833 12.362778 0 0 4 4 0 0 0 0 2 0 0 0 12 12
Carbonera TV 296 45.680556 12.286944 0 0 0 0 0 0 0 2 2 2 6 0 2 2
CasalesulSile TV 297 45.599167 12.326667 25 25 25 68 71 89 86 117 93 131 127 103 100 103
Casier TV 298 45.635556 12.258333 22 22 22 22 34 34 34 34 34 62 62 82 138 92
Castelcucco TV 299 45.835556 11.882778 53 38 57 59 66 53 61 66 74 63 69 60 64 37
CastelfrancoVeneto TV 300 45.673056 11.926667 422 422 422 435 436 438 479 502 497 580 585 572 566 625
CastellodiGodego TV 301 45.693889 11.881111 12 12 27 27 27 27 27 67 27 59 89 94 94 94
CavasodelTomba TV 302 45.861111 11.897222 20 14 42 36 40 36 36 14 44 140 140 143 143 143
Cessalto TV 303 45.713333 12.613056 38 38 38 38 38 37 37 37 37 37 43 44 44 44
Chiarano TV 304 45.730278 12.582500 3 0 0 0 0 0 0 0 0 16 20 15 15 13
Cimadolmo TV 305 45.788056 12.363056 10 10 10 14 14 10 10 10 17 10 17 10 10 10
CisondiValmarino TV 306 45.971667 12.142500 125 17 25 31 43 102 102 140 132 228 229 188 192 198
Codognè TV 307 45.868889 12.433611 10 10 10 16 16 10 10 27 16 58 121 107 107 107
ColleUmberto TV 308 45.942500 12.343333 7 24 23 23 23 23 23 23 23 53 55 53 53 53
Conegliano TV 309 45.887222 12.297222 461 461 451 469 475 494 488 584 488 584 646 643 634 647
Cordignano TV 310 45.950833 12.416111 21 21 21 21 23 21 21 23 23 23 23 21 17 37
Cornuda TV 311 45.833056 12.006944 7 0 25 0 4 0 0 0 5 60 60 55 55 55
CrespanodelGrappa TV 312 45.829444 11.839722 221 207 211 221 170 161 161 115 161 139 127 127 172 168
CrocettadelMontello TV 313 45.823889 12.019722 18 18 26 30 26 26 26 20 30 89 83 77 70 74
FarradiSoligo TV 314 45.908056 12.124722 155 155 167 167 149 158 172 206 181 224 254 209 116 209
Follina TV 315 45.955000 12.118889 135 123 135 201 207 217 217 268 266 265 265 206 204 214
Fontanelle TV 316 45.832222 12.468611 0 0 0 0 0 0 0 4 6 10 10 0 0 0
Fonte TV 317 45.786111 11.870556 54 54 54 6 6 54 0 18 11 25 25 13 13 13
Fregona TV 318 46.009722 12.340556 43 34 43 52 50 52 40 43 43 48 56 53 53 48
Gaiarine TV 319 45.879722 12.483611 0 0 0 0 0 0 0 0 0 0 12 9 9 19
GiaveradelMontello TV 320 45.803333 12.168611 4 0 0 0 0 0 0 6 6 8 8 2 12 12
GodegadiSant'Urbano TV 321 45.929722 12.398611 25 25 25 25 27 27 34 38 34 38 38 34 34 73
GorgoalMonticano TV 322 45.788333 12.551667 50 52 52 52 52 51 50 50 50 75 76 98 98 98
Istrana TV 323 45.680278 12.099722 17 17 17 17 17 16 16 22 16 54 54 55 55 55
Loria TV 324 45.731111 11.866111 18 18 18 18 18 18 18 18 18 18 18 18 18 18
Mansuè TV 325 45.823611 12.540833 0 0 0 0 14 6 6 20 20 18 18 14 14 14
MarenodiPiave TV 326 45.847500 12.355000 0 0 0 0 0 0 6 14 14 44 44 46 35 35
Maser TV 327 45.809444 11.977500 0 0 0 0 4 0 17 41 27 65 71 65 65 69
MaseradasulPiave TV 328 45.755556 12.315278 25 25 25 25 25 25 25 30 25 30 33 30 36 33
MedunadiLivenza TV 329 45.807500 12.613611 37 37 37 37 37 37 37 37 37 37 37 37 37 37
Miane TV 330 45.945833 12.095556 16 8 12 20 34 17 17 35 33 71 68 51 51 51
MoglianoVeneto TV 331 45.563056 12.236667 519 435 532 550 642 622 665 695 692 803 817 705 779 825
MonastierdiTreviso TV 332 45.651944 12.434167 357 357 357 357 357 357 340 340 340 354 380 368 360 360
Monfumo TV 333 45.833056 11.921389 17 0 17 17 17 17 17 2 21 21 53 49 35 49
Montebelluna TV 334 45.776667 12.045000 232 243 243 241 225 220 253 274 269 310 354 307 322 323
Morgano TV 335 45.635833 12.083333 8 0 0 0 0 0 0 0 0 0 0 0 0 9
MoriagodellaBattaglia TV 336 45.867222 12.100833 10 10 10 10 15 10 10 15 15 10 14 10 10 14
MottadiLivenza TV 337 45.777222 12.611111 90 67 100 100 100 100 100 112 100 132 177 174 161 165
NervesadellaBattaglia TV 338 45.825833 12.209444 0 0 0 9 9 14 14 19 20 91 86 77 86 88
Oderzo TV 339 45.783333 12.494444 195 186 195 199 203 217 268 224 268 284 313 336 343 350
Ormelle TV 340 45.780556 12.420000 0 0 0 0 0 0 0 3 0 4 4 0 0 0
Orsago TV 341 45.932500 12.422500 25 25 25 25 25 25 25 25 25 30 39 39 14 39
PadernodelGrappa TV 342 45.828056 11.852500 38 21 38 25 166 148 147 148 147 191 211 111 139 135
Paese TV 343 45.673056 12.156667 56 56 56 60 60 56 56 66 64 90 88 69 69 74
Pederobba TV 344 45.859167 11.987222 4 4 4 15 11 7 2 2 12 16 21 20 20 23
PievediSoligo TV 345 45.901111 12.172500 238 240 240 244 244 239 237 245 237 255 271 278 290 281
PontediPiave TV 346 45.717500 12.463611 158 148 158 158 176 156 176 181 176 265 270 261 283 228
PonzanoVeneto TV 347 45.719167 12.209167 28 8 8 168 172 171 181 193 193 185 185 173 191 192
Portobuffolè TV 348 45.854722 12.538611 83 78 83 83 82 82 82 87 82 87 89 84 84 84
Possagno TV 349 45.856667 11.881111 128 124 128 128 128 124 100 109 109 34 127 114 30 30
Povegliano TV 350 45.759722 12.206111 0 0 0 8 8 8 22 22 22 22 14 14 14 14
Preganziol TV 351 45.604444 12.235833 178 177 177 236 461 369 452 472 459 563 538 524 517 522
QuintodiTreviso TV 352 45.646389 12.168056 57 55 63 63 63 65 71 71 71 78 93 346 346 325
Refrontolo TV 353 45.924444 12.206944 25 25 12 32 66 21 21 27 27 41 51 38 50 44
Resana TV 354 45.632500 11.956944 0 0 0 6 6 0 7 7 13 38 38 32 45 54
RevineLago TV 355 45.992778 12.231111 392 374 390 390 431 360 608 620 623 277 258 279 272 302
RiesePioX TV 356 45.730833 11.919722 0 0 0 38 38 38 38 38 42 38 61 61 61 61
Roncade TV 357 45.629722 12.376389 50 50 50 63 65 61 61 70 68 128 156 155 248 217
Salgareda TV 358 45.705278 12.493889 20 14 14 14 44 31 22 22 22 48 107 69 47 47
SanBiagiodiCallalta TV 359 45.684722 12.376944 79 61 79 79 74 80 92 116 92 105 109 94 115 111
SanFior TV 360 45.921389 12.357778 56 68 68 64 69 64 64 69 69 67 67 62 62 62
SanPietrodiFeletto TV 361 45.914167 12.253056 21 17 26 35 41 23 23 56 49 86 89 56 56 57
SanPolodiPiave TV 362 45.792500 12.395833 23 23 23 23 23 35 52 46 52 46 46 34 34 34
SantaLuciadiPiave TV 363 45.851667 12.287222 0 0 0 0 0 0 0 0 0 5 5 0 0 0
SanVendemiano TV 364 45.888611 12.345278 58 58 58 0 78 90 90 110 98 110 112 102 102 102
SanZenonedegliEzzelini TV 365 45.780556 11.840556 58 58 58 58 58 66 66 78 78 96 104 92 99 94
Sarmede TV 366 45.979444 12.385000 32 32 32 34 34 34 34 38 38 40 44 34 16 16
Segusino TV 367 45.916944 11.954444 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SernagliadellaBattaglia TV 368 45.875833 12.133611 13 13 13 13 4 4 8 10 18 18 18 8 8 8
Silea TV 369 45.654444 12.299167 69 69 69 73 73 92 145 161 159 247 255 287 291 278
Spresiano TV 370 45.781111 12.259167 76 125 125 76 76 84 84 86 86 209 221 204 203 218
Susegana TV 371 45.852222 12.250556 91 56 73 60 146 134 146 162 166 157 203 180 182 132
Tarzo TV 372 45.973611 12.233056 197 143 190 198 198 191 192 137 209 207 165 150 150 87
Trevignano TV 373 45.742500 12.086111 0 0 0 0 0 0 0 4 0 11 11 7 13 25
Treviso TV 374 45.666389 12.245278 944 840 857 880 1122 1131 1171 1413 1267 1553 1589 1451 1492 1650
Valdobbiadene TV 375 45.902500 11.997222 130 94 105 109 167 99 197 297 267 431 454 418 429 456
Vazzola TV 376 45.838889 12.380278 15 15 15 15 15 16 16 21 21 21 21 16 16 21
Vedelago TV 377 45.687222 12.019722 161 145 135 160 133 133 132 136 136 151 191 180 176 180
Vidor TV 378 45.863333 12.039167 0 0 0 0 0 0 0 3 2 10 7 4 4 4
Villorba TV 379 45.713333 12.260000 87 87 87 111 111 105 105 145 141 146 308 298 283 283
VittorioVeneto TV 380 45.990556 12.296944 326 264 325 359 345 288 314 375 383 427 427 395 439 452
VolpagodelMontello TV 381 45.778333 12.125278 40 40 46 44 44 44 44 56 56 62 86 80 74 72
ZensondiPiave TV 382 45.679167 12.492222 9 0 9 0 0 0 0 6 6 6 6 0 0 0
ZeroBranco TV 383 45.602222 12.168333 5 5 5 10 18 5 5 16 21 37 33 26 26 30
AnnoneVeneto VE 384 45.797500 12.685833 13 13 13 14 13 13 13 0 13 0 13 0 0 0
CampagnaLupia VE 385 45.356944 12.098333 41 41 41 47 54 54 54 24 54 22 81 77 130 191
CampolongoMaggiore VE 386 45.333056 12.050278 0 0 0 0 0 0 0 0 0 0 0 0 7 7
Camponogara VE 387 45.385833 12.074167 0 0 0 0 0 0 0 0 0 8 10 0 0 0
Caorle VE 388 45.602500 12.888333 32798 31789 31969 49312 48966 52973 51656 51889 51672 52523 54581 60955 60959 58270
Cavarzere VE 389 45.136667 12.083889 45 55 45 45 71 71 71 71 71 71 62 80 88 88
Ceggia VE 390 45.686111 12.637778 8 8 8 8 8 17 17 17 17 8 17 17 41 33
Chioggia VE 391 45.220556 12.279444 15890 15906 16179 28123 28113 30455 31369 30491 31383 29047 28549 39432 38536 25035
CintoCaomaggiore VE 392 45.826111 12.786667 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cona VE 393 45.194444 12.041667 0 0 0 0 0 9 9 9 9 9 9 9 9 9
ConcordiaSagittaria VE 394 45.757222 12.845278 38 38 8 31 42 42 42 47 47 67 93 160 114 123
Dolo VE 395 45.425556 12.075556 148 148 150 162 178 167 192 200 226 271 288 272 321 300
Eraclea VE 396 45.578889 12.673056 5301 5312 4564 9374 9344 9512 9461 9346 9461 7596 12261 13924 14168 9225
Fiessod'Artico VE 397 45.419167 12.033611 115 126 128 128 143 143 154 149 166 154 216 210 207 198
FossaltadiPiave VE 398 45.648611 12.513889 0 0 0 21 21 21 21 21 21 21 21 21 25 25
FossaltadiPortogruaro VE 399 45.792222 12.909167 10 10 23 23 23 23 33 33 33 35 42 52 50 46
Fossò VE 400 45.388333 12.050278 0 0 0 8 8 8 47 47 47 47 66 81 87 65
Gruaro VE 401 45.831389 12.841111 0 0 0 15 15 15 15 22 22 22 22 15 15 15
Jesolo VE 402 45.540000 12.641389 45027 44635 43437 79079 81459 78340 83979 84055 83985 88424 61635 70701 70583 63192
Marcon VE 403 45.555556 12.299167 37 53 53 53 61 61 61 61 61 69 360 405 388 396
Martellago VE 404 45.548333 12.156667 0 0 0 0 6 0 0 6 6 18 47 128 146 112
Meolo VE 405 45.622500 12.451944 33 130 126 126 126 35 134 134 134 134 142 136 169 169
Mira VE 406 45.435000 12.122500 519 517 552 677 728 735 747 812 803 883 1030 1246 1026 1023
Mirano VE 407 45.494722 12.112500 212 302 302 371 392 368 368 378 392 397 579 666 584 921
MusilediPiave VE 408 45.623889 12.565000 15 15 14 14 14 35 35 44 44 38 41 41 65 69
Noale VE 409 45.551944 12.073056 305 305 321 321 324 321 353 357 360 349 449 457 363 356
NoventadiPiave VE 410 45.662778 12.530556 56 56 56 81 185 303 303 336 303 330 409 618 614 789
Pianiga VE 411 45.458056 12.031111 0 0 0 0 0 0 103 103 103 166 181 165 172 170
Portogruaro VE 412 45.777222 12.837222 197 197 197 198 207 231 221 248 245 246 254 321 342 349
Pramaggiore VE 413 45.814444 12.738611 0 0 0 0 0 0 0 0 0 0 0 0 0 10
Quartod'Altino VE 414 45.581944 12.370833 137 295 295 310 310 310 310 623 316 629 656 644 640 640
Salzano VE 415 45.522500 12.106944 12 22 78 90 94 94 94 84 94 84 84 84 84 84
SanDonàdiPiave VE 416 45.633889 12.565278 421 444 454 432 476 440 440 440 440 466 459 472 394 383
SanMichelealTagliamento VE 417 45.767222 12.994722 18026 19791 19950 70426 70434 74852 76361 78439 76361 77525 73325 85541 85343 82442
SantaMariadiSala VE 418 45.508333 12.036111 64 64 64 64 64 64 64 80 64 80 94 94 87 95
SantoStinodiLivenza VE 419 45.731944 12.681667 86 86 51 54 83 83 83 75 87 98 131 122 141 141
Scorzè VE 420 45.574444 12.109444 74 74 74 73 73 120 120 120 126 131 165 166 165 165
Spinea VE 421 45.491944 12.169444 46 46 46 54 54 46 46 80 74 90 113 108 62 62
Stra VE 422 45.411389 12.009167 96 96 96 96 96 96 96 181 96 292 299 278 285 282
TeglioVeneto VE 423 45.816389 12.886944 0 0 0 0 6 0 0 12 12 12 13 0 0 0
TorrediMosto VE 424 45.691389 12.710833 0 0 0 0 25 25 25 25 25 12 31 25 39 39
Venezia VE 425 45.438056 12.327500 90238 92520 92885 27044 28057 29256 31927 32208 32645 35915 41232 46713 44393 43625
Vigonovo VE 426 45.389167 12.008889 12 20 29 30 34 30 30 30 37 21 51 64 64 64
Cavallino-Treporti VE 427 45.450000 12.450000 NA NA NA 69459 71414 70397 71552 71386 71552 70603 76388 75456 74602 72702
AbanoTerme PD 428 45.36166667 11.79083333 10657 10167 10167 11260 11334 10418 10386 10063 10415 10462 10490 10553 10597 10719
Agna PD 429 45.17222222 11.96166667 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Albignasego PD 430 45.3475 11.86805556 133 133 133 149 149 178 184 171 189 192 211 193 197 190
AnguillaraVeneta PD 431 45.14138889 11.88888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ArquàPetrarca PD 432 45.27055556 11.71861111 0 17 17 17 17 0 0 14 23 25 108 97 120 124
Arre PD 433 45.21805556 11.93083333 0 0 0 0 4 0 0 6 8 0 4 0 0 0
Arzergrande PD 434 45.27583333 12.04583333 0 0 0 0 0 0 0 0 0 0 5 0 0 0
BagnolidiSopra PD 435 45.18638889 11.88472222 0 10 10 11 11 10 11 0 11 0 10 10 10 22
Baone PD 436 45.24444444 11.68777778 0 0 0 0 23 49 55 14 74 109 162 111 111 103
Barbona PD 437 45.10833333 11.66222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BattagliaTerme PD 438 45.29194444 11.78527778 208 201 201 203 221 196 181 167 185 171 173 156 156 156
BoaraPisani PD 439 45.10861111 11.78277778 36 36 36 38 38 36 106 106 106 110 110 110 110 110
Borgoricco PD 440 45.53138889 11.96638889 0 0 0 0 4 8 0 4 4 30 50 39 57 33
Bovolenta PD 441 45.27111111 11.93944444 12 0 0 16 16 18 16 16 16 16 27 31 31 28
Brugine PD 442 45.29916667 11.99444444 0 0 0 6 13 0 0 12 23 32 33 9 9 9
Cadoneghe PD 443 45.45 11.91027778 0 0 0 8 8 8 1 20 19 81 91 54 52 52
Campodarsego PD 444 45.50305556 11.90861111 0 0 0 0 0 0 0 0 0 99 106 99 99 99
Campodoro PD 445 45.49388889 11.75333333 0 0 0 0 0 0 0 0 0 0 0 0 0 3
Camposampiero PD 446 45.57083333 11.93388889 98 137 137 187 190 242 319 302 339 215 361 436 436 430
CampoSanMartino PD 447 45.54861111 11.81138889 0 0 0 0 0 0 0 5 5 0 0 0 12 22
Candiana PD 448 45.22166667 11.9925 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Carceri PD 449 45.19916667 11.62583333 0 0 0 0 0 0 0 0 0 0 6 6 6 18
CarmignanodiBrenta PD 450 45.63138889 11.71055556 70 64 64 63 63 66 63 71 63 56 69 63 63 63
Cartura PD 451 45.26916667 11.85972222 0 0 0 5 5 0 0 0 0 0 0 0 0 0
CasalediScodosia PD 452 45.18694444 11.46111111 0 0 0 0 0 10 0 0 0 0 4 4 8 21
Casalserugo PD 453 45.31805556 11.91361111 0 0 0 0 0 0 0 4 0 4 13 13 16 16
Castelbaldo PD 454 45.12416667 11.44666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CervareseSantaCroce PD 455 45.40305556 11.69444444 0 0 0 0 4 10 10 0 14 18 51 45 31 27
CintoEuganeo PD 456 45.2925 11.66222222 0 0 0 0 6 6 6 27 64 69 102 30 39 34
Cittadella PD 457 45.65027778 11.785 365 348 348 346 346 376 406 428 424 420 445 448 448 458
Codevigo PD 458 45.26888889 12.10166667 34 34 34 18 30 52 52 52 52 42 48 48 48 53
Conselve PD 459 45.23277778 11.87583333 58 58 58 58 58 192 192 192 192 234 244 240 240 244
Correzzola PD 460 45.2375 12.06777778 0 0 0 40 40 40 40 40 40 40 53 61 77 81
Curtarolo PD 461 45.52305556 11.83305556 0 0 0 0 0 5 0 0 0 26 39 28 28 28
Este PD 462 45.22805556 11.65333333 123 95 95 129 161 153 153 180 200 229 352 269 290 275
Fontaniva PD 463 45.63805556 11.75694444 23 24 24 20 20 30 23 30 30 28 28 25 25 25
GallieraVeneta PD 464 45.66388889 11.82972222 0 0 0 0 0 0 0 4 0 0 0 0 0 0
GalzignanoTerme PD 465 45.31055556 11.72888889 713 673 673 719 741 728 679 702 699 760 798 785 806 809
Gazzo PD 466 45.58222222 11.7075 0 0 0 93 93 93 93 93 93 101 101 98 98 98
Grantorto PD 467 45.60194444 11.73027778 11 11 11 11 11 11 30 19 30 27 30 30 30 30
Granze PD 468 45.15611111 11.71444444 0 0 0 0 0 0 0 4 4 8 15 12 12 12
Legnaro PD 469 45.34666667 11.96611111 17 17 17 17 17 26 21 35 30 49 56 43 48 50
Limena PD 470 45.48194444 11.84388889 43 46 46 47 53 62 59 78 65 84 99 88 88 87
Loreggia PD 471 45.59333333 11.94583333 16 16 16 56 67 68 67 68 67 45 70 70 70 70
LozzoAtestino PD 472 45.28888889 11.62722222 0 0 0 0 0 8 8 13 22 13 38 6 8 8
MaseràdiPadova PD 473 45.32194444 11.865 0 0 0 0 4 0 0 0 4 0 54 50 56 56
Masi PD 474 45.10861111 11.48888889 0 0 0 0 6 6 6 57 6 57 57 57 57 57
Massanzago PD 475 45.55694444 12.00444444 44 44 44 61 61 85 68 95 68 91 94 113 129 111
MegliadinoSanFidenzio PD 476 45.21833333 11.51666667 0 0 0 2 2 8 10 8 10 0 8 8 0 0
MegliadinoSanVitale PD 477 45.19416667 11.52666667 13 13 13 14 14 13 13 8 13 8 21 21 21 21
Merlara PD 478 45.16888889 11.44166667 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mestrino PD 479 45.44277778 11.76083333 30 13 13 34 28 28 34 33 37 28 63 72 86 93
Monselice PD 480 45.23972222 11.75138889 173 163 163 176 320 306 304 309 329 369 462 429 415 411
Montagnana PD 481 45.23388889 11.46722222 124 205 205 168 181 150 193 177 193 197 318 239 241 241
MontegrottoTerme PD 482 45.33333333 11.78444444 6646 6730 6730 6823 7036 7032 7032 7000 7051 6896 7262 7047 6752 6711
NoventaPadovana PD 483 45.41527778 11.95083333 28 28 28 28 28 40 40 40 47 46 66 73 75 82
OspedalettoEuganeo PD 484 45.22388889 11.61138889 15 0 0 40 40 40 40 25 40 25 39 64 64 64
Padova PD 485 45.40916667 11.87305556 3946 4052 4052 4234 4109 4180 5259 4529 5353 5585 6939 6903 6895 6957
Pernumia PD 486 45.25861111 11.79055556 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Piacenzad'Adige PD 487 45.12944444 11.54777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PiazzolasulBrenta PD 488 45.54333333 11.78722222 26 18 18 26 26 18 26 29 32 48 63 35 27 20
PiombinoDese PD 489 45.60888889 12.00083333 0 0 0 12 12 12 31 12 31 12 36 36 36 47
PiovediSacco PD 490 45.29833333 12.035 60 60 60 204 204 202 202 211 209 230 223 210 210 210
Polverara PD 491 45.31222222 11.95888889 0 0 0 0 0 0 0 0 0 16 26 10 10 10
Ponso PD 492 45.19388889 11.58694444 12 12 12 12 12 12 12 12 12 15 15 15 15 15
Pontelongo PD 493 45.25083333 12.02388889 16 16 16 18 36 36 36 36 36 36 36 36 36 36
PonteSanNicolò PD 494 45.36555556 11.93722222 73 73 73 86 86 98 189 98 189 98 98 98 98 110
Pozzonovo PD 495 45.19777778 11.79416667 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Rovolon PD 496 45.38722222 11.65333333 0 0 0 0 0 13 13 2 21 96 138 106 114 115
Rubano PD 497 45.42805556 11.78527778 233 211 211 212 212 220 220 212 220 214 237 234 247 247
Saccolongo PD 498 45.40611111 11.74916667 0 0 0 0 2 8 17 15 17 0 25 20 20 0
Saletto PD 499 45.22805556 11.53444444 7 10 10 7 7 18 25 18 25 0 18 9 9 9
SanGiorgiodellePertiche PD 500 45.54166667 11.91055556 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SanGiorgioinBosco PD 501 45.59222222 11.80694444 70 70 70 70 70 70 70 70 70 70 70 84 84 84
SanMartinodiLupari PD 502 45.64916667 11.85777778 24 16 16 19 24 38 45 43 50 44 53 34 38 38
SanPietroinGu PD 503 45.61638889 11.66972222 21 21 21 20 20 21 20 20 20 21 21 20 20 20
SanPietroViminario PD 504 45.2475 11.82 0 0 0 5 5 4 5 5 5 16 27 16 28 24
SantaGiustinainColle PD 505 45.56444444 11.90805556 10 10 10 8 8 8 8 8 8 8 8 14 14 14
SantaMargheritad'Adige PD 506 45.21722222 11.55805556 0 0 0 0 0 0 0 0 0 4 0 0 0 0
Sant'AngelodiPiovediSacco PD 507 45.34638889 12.00888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Sant'Elena PD 508 45.18777778 11.71111111 0 0 0 4 4 0 0 0 4 6 18 6 6 6
Sant'Urbano PD 509 45.12944444 11.64666667 0 0 0 0 0 0 0 0 0 0 4 4 20 20
Saonara PD 510 45.37083333 11.98583333 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SelvazzanoDentro PD 511 45.39527778 11.78361111 168 159 159 180 183 274 322 270 325 283 301 271 284 282
Solesino PD 512 45.17916667 11.74277778 11 11 11 11 11 11 11 11 11 11 11 0 0 0
Stanghella PD 513 45.13583333 11.75722222 32 30 30 25 28 34 44 39 44 36 39 34 34 34
Teolo PD 514 45.36805556 11.70833333 909 842 842 906 907 847 853 849 873 865 1059 1026 1053 1063
TerrassaPadovana PD 515 45.24722222 11.90305556 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tombolo PD 516 45.64638889 11.83194444 14 14 14 14 14 18 18 18 18 20 6 6 6 0
Torreglia PD 517 45.33611111 11.73277778 74 76 76 76 143 161 161 157 181 193 244 221 222 218
Trebaseleghe PD 518 45.59138889 12.05166667 38 39 39 37 42 39 62 63 62 48 52 42 42 42
Tribano PD 519 45.21277778 11.83388889 14 14 14 12 14 23 19 22 19 25 28 23 23 20
Urbana PD 520 45.18944444 11.44388889 70 11 11 70 91 32 32 49 32 49 49 49 49 49
Veggiano PD 521 45.44805556 11.71583333 0 0 0 6 6 6 0 0 0 18 44 31 25 25
Vescovana PD 522 45.13555556 11.70916667 0 0 0 4 4 0 4 0 4 15 15 8 8 8
Vighizzolod'Este PD 523 45.17638889 11.62916667 0 0 0 0 4 4 0 4 4 0 6 0 0 0
Vigodarzere PD 524 45.4625 11.87833333 0 0 0 0 2 17 17 15 17 34 34 21 33 26
Vigonza PD 525 45.44527778 11.99166667 103 129 129 122 125 136 114 165 137 284 291 285 287 287
VilladelConte PD 526 45.58416667 11.86055556 16 35 35 34 34 47 31 53 31 57 77 69 79 77
VillaEstense PD 527 45.17388889 11.66916667 0 0 0 0 0 0 0 0 0 0 0 0 0 0
VillafrancaPadovana PD 528 45.49472222 11.79972222 12 12 12 12 12 26 26 26 26 78 105 99 102 104
VillanovadiCamposampiero PD 529 45.49194444 11.97388889 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Vo PD 530 45.329722 11.640833 15 0 0 45 82 129 160 15 181 203 264 215 223 143
DueCarrare PD 531 45.28333333 11.83333333 8 8 8 8 8 8 8 14 8 36 41 34 34 42
Adria RO 532 45.0575 12.05694444 114 112 112 158 209 204 174 141 192 138 268 210 272 297
ArianonelPolesine RO 533 44.948611 12.123889 20 20 20 26 45 37 54 67 54 78 85 61 98 104
