IDcom ycom xcom
429 45.17222222 11.96166667
430 45.3475 11.86805556
431 45.14138889 11.88888889
432 45.27055556 11.71861111
433 45.21805556 11.93083333
434 45.27583333 12.04583333
435 45.18638889 11.88472222
436 45.24444444 11.68777778
437 45.10833333 11.66222222
438 45.29194444 11.78527778
439 45.10861111 11.78277778
440 45.53138889 11.96638889
441 45.27111111 11.93944444
442 45.29916667 11.99444444
443 45.45 11.91027778
444 45.50305556 11.90861111
445 45.49388889 11.75333333
446 45.57083333 11.93388889
447 45.54861111 11.81138889
448 45.22166667 11.9925
449 45.19916667 11.62583333
450 45.63138889 11.71055556
451 45.26916667 11.85972222
452 45.18694444 11.46111111
453 45.31805556 11.91361111
454 45.12416667 11.44666667
455 45.40305556 11.69444444
456 45.2925 11.66222222
457 45.65027778 11.785
458 45.26888889 12.10166667
459 45.23277778 11.87583333
460 45.2375 12.06777778
461 45.52305556 11.83305556
462 45.22805556 11.65333333
463 45.63805556 11.75694444
464 45.66388889 11.82972222
465 45.31055556 11.72888889
466 45.58222222 11.7075
467 45.60194444 11.73027778
468 45.15611111 11.71444444
469 45.34666667 11.96611111
470 45.48194444 11.84388889
471 45.59333333 11.94583333
472 45.28888889 11.62722222
473 45.32194444 11.865
474 45.10861111 11.48888889
475 45.55694444 12.00444444
476 45.21833333 11.51666667
477 45.19416667 11.52666667
478 45.16888889 11.44166667
479 45.44277778 11.76083333
480 45.23972222 11.75138889
481 45.23388889 11.46722222
482 45.33333333 11.78444444
483 45.41527778 11.95083333
484 45.22388889 11.61138889
485 45.40916667 11.87305556
486 45.25861111 11.79055556
487 45.12944444 11.54777778
488 45.54333333 11.78722222
489 45.60888889 12.00083333
490 45.29833333 12.035
491 45.31222222 11.95888889
492 45.19388889 11.58694444
493 45.25083333 12.02388889
494 45.36555556 11.93722222
495 45.19777778 11.79416667
496 45.38722222 11.65333333
497 45.42805556 11.78527778
498 45.40611111 11.74916667
499 45.22805556 11.53444444
500 45.54166667 11.91055556
501 45.59222222 11.80694444
502 45.64916667 11.85777778
503 45.61638889 11.66972222
504 45.2475 11.82
505 45.56444444 11.90805556
506 45.21722222 11.55805556
507 45.34638889 12.00888889
508 45.18777778 11.71111111
509 45.12944444 11.64666667
510 45.37083333 11.98583333
511 45.39527778 11.78361111
512 45.17916667 11.74277778
513 45.13583333 11.75722222
514 45.36805556 11.70833333
515 45.24722222 11.90305556
516 45.64638889 11.83194444
517 45.33611111 11.73277778
518 45.59138889 12.05166667
519 45.21277778 11.83388889
520 45.18944444 11.44388889
521 45.44805556 11.71583333
522 45.13555556 11.70916667
523 45.17638889 11.62916667
524 45.4625 11.87833333
525 45.44527778 11.99166667
526 45.58416667 11.86055556
527 45.17388889 11.66916667
528 45.49472222 11.79972222
529 45.49194444 11.97388889
530 45.329722 11.640833
531 45.28333333 11.83333333
532 45.0575 12.05694444
533 44.948611 12.123889
534 45.012222 11.740556
535 45.095000 11.491111
536 45.016667 11.501389
537 45.062222 11.252500
538 45.004722 11.771667
539 44.993056 11.357500
540 44.938333 11.676389
541 45.035556 11.509722
542 45.025278 11.538056
543 45.018056 11.309444
544 45.028889 11.286667
545 45.014722 11.368611
546 45.053056 11.872500
547 45.008056 12.078611
548 45.051389 11.698611
549 44.985833 11.885833
550 44.955833 11.435833
551 44.965000 11.601111
552 44.996667 11.699722
553 45.030000 11.644722
554 44.948056 11.482778
555 45.021944 11.915556
556 45.067778 11.451111
557 44.982222 11.802778
558 45.085000 11.599722
559 45.063333 12.189444
560 45.101667 11.663611
561 45.065278 11.198056
562 44.921944 11.580000
563 44.986944 12.030000
564 45.137778 11.992500
565 44.994444 11.610833
566 44.967222 11.749722
567 45.020833 11.812222
568 44.952778 12.333056
569 45.077222 12.246944
570 45.072500 11.792778
571 44.987500 11.426944
572 45.029444 11.590556
573 45.132222 11.871111
574 44.940556 11.544444
575 45.010000 12.208333
576 45.030833 11.461667
577 45.073056 11.892222
578 45.015000 11.693611
579 45.059722 11.645278
580 44.990556 11.978611
581 45.016667 12.216667
