339	119	578
483	655	399
364	35	278
171	289	50
100	396	99
307	76	315
375	50	289
71	197	312
459	126	676
449	168	286
426	7	138
177	49	180
29	445	274
492	449	493
150	270	432
174	47	372
174	16	357
250	415	345
582	583	116
452	107	223
408	576	119
30	363	276
243	410	457
119	577	578
230	401	602
581	339	580
102	607	396
490	276	363
430	277	364
523	208	85
114	592	406
522	85	350
341	410	660
195	384	72
202	416	463
336	486	403
411	244	410
386	74	73
421	323	466
78	316	464
466	515	516
252	417	464
402	41	368
104	285	482
346	416	462
202	464	77
67	382	200
290	472	372
380	300	57
61	186	302
63	187	186
474	264	5
354	426	264
61	415	461
6	635	4
351	638	663
671	325	507
614	94	218
424	136	135
303	2	662
185	415	61
141	427	261
10	183	142
623	23	622
266	13	145
291	372	173
12	265	142
170	287	149
145	13	265
362	216	154
432	45	171
153	26	360
29	274	157
18	148	19
268	144	17
408	574	575
605	606	607
573	574	408
576	577	119
575	576	408
117	236	342
408	119	339
339	579	580
582	239	581
578	579	339
332	491	102
239	582	116
100	221	331
490	220	276
608	99	396
394	328	96
218	94	393
229	452	102
107	607	223
395	101	222
221	609	330
335	228	604
604	605	107
653	106	654
229	107	452
470	159	430
33	278	160
36	279	163
366	165	227
334	397	103
369	282	166
41	283	167
655	654	399
103	151	370
40	284	167
110	336	403
401	109	601
35	227	483
659	658	120
406	337	661
406	592	337
645	109	646
451	106	652
213	391	537
118	456	239
243	115	410
591	592	114
342	409	122
338	116	584
121	548	241
131	466	517
551	409	488
486	112	403
485	233	405
336	231	486
405	233	232
403	431	110
167	368	41
336	487	231
233	404	232
87	209	527
205	487	336
337	594	644
234	599	600
111	486	231
88	212	455
83	80	204
487	88	111
443	319	81
209	86	526
208	525	86
208	84	85
208	86	320
84	317	207
513	392	512
442	318	74
84	208	320
80	83	443
193	68	311
422	349	468
423	521	522
252	464	202
468	257	520
133	489	518
517	466	516
130	420	256
561	562	560
131	421	466
674	253	418
479	513	514
346	348	252
420	421	131
419	348	346
420	131	489
196	439	309
347	422	78
198	315	442
76	441	388
198	74	477
77	464	316
199	198	477
442	316	79
68	402	310
281	165	366
191	438	308
73	74	440
449	492	482
52	476	192
189	307	75
200	386	313
381	437	190
175	374	292
436	48	183
265	13	427
355	263	11
264	138	5
628	629	143
262	426	9
462	478	305
187	182	58
187	58	379
138	7	6
462	251	128
388	77	315
64	188	201
301	181	436
201	380	305
304	61	461
62	345	185
130	253	674
215	91	479
444	512	392
671	508	509
324	392	214
666	458	125
511	512	444
63	186	304
59	352	475
475	249	460
345	415	185
247	667	124
676	127	344
248	124	667
412	668	667
413	504	669
343	246	498
495	124	248
497	123	412
123	246	413
343	502	246
248	666	125
642	643	665
60	184	414
303	126	459
1	663	134
639	664	663
353	260	6
424	3	258
6	260	139
134	2	258
638	639	663
258	3	351
135	638	3
628	143	266
629	427	143
627	628	266
630	8	261
429	154	360
626	144	268
14	144	266
144	627	266
44	170	288
358	269	147
15	17	356
469	428	268
48	175	373
180	298	381
142	265	11
12	145	265
299	65	381
473	438	434
435	55	49
492	493	179
66	308	383
225	192	310
295	473	434
473	383	438
151	155	22
51	434	53
432	171	286
291	290	372
286	171	51
371	44	172
50	295	171
171	45	371
27	155	273
361	271	155
220	611	329
218	393	326
36	277	159
32	224	471
397	334	480
274	27	273
97	30	276
447	394	158
158	97	219
329	611	612
328	447	613
219	613	447
29	275	158
158	363	30
610	611	220
217	218	326
446	614	218
359	271	361
24	272	618
95	217	327
616	93	615
20	270	150
288	358	472
362	326	216
393	94	615
153	270	20
607	608	396
100	99	221
342	238	117
237	117	407
584	116	583
116	118	239
239	456	339
339	581	239
339	568	408
573	408	572
572	408	571
571	408	570
569	408	568
568	339	567
570	408	569
238	118	407
456	566	339
407	338	586
118	116	338
591	114	236
238	407	117
118	338	407
588	236	117
590	591	236
593	594	337
595	235	594
337	592	593
594	235	644
113	596	597
590	236	589
603	604	228
585	586	338
587	117	237
407	586	237
589	236	588
584	585	338
117	587	588
237	586	587
108	603	228
614	615	94
108	230	602
108	602	603
607	102	223
229	335	107
395	491	332
452	223	102
335	604	107
107	605	607
99	609	221
609	99	608
331	98	101
610	220	98
331	330	98
98	220	101
100	331	101
221	330	331
609	610	330
