167	64	148
67	173	40
154	223	170
188	297	59
78	71	99
15	173	200
261	49	191
75	69	53
296	295	59
22	303	302
32	166	35
51	33	160
173	67	200
164	211	210
163	141	33
60	248	193
110	97	192
135	112	8
108	116	155
17	2	71
242	241	146
99	71	2
240	82	241
190	237	172
161	145	181
138	264	3
144	65	3
294	293	155
139	111	39
93	78	99
156	184	15
150	173	177
59	104	188
123	150	75
58	116	77
296	59	297
295	155	58
116	108	65
65	90	3
155	293	88
268	127	63
88	293	90
189	127	267
144	49	77
130	257	256
116	144	77
85	20	21
3	90	138
307	87	101
123	22	175
156	130	256
94	104	58
200	197	10
253	64	178
76	91	167
10	130	15
202	36	142
28	101	31
163	33	254
31	87	27
178	163	254
196	142	160
205	132	136
164	26	162
136	196	33
26	164	209
46	206	136
26	125	162
7	265	264
212	211	100
122	198	192
97	110	41
43	163	178
162	141	163
64	253	148
91	76	110
54	263	191
193	6	20
186	270	4
269	84	270
9	57	153
21	246	245
38	103	124
183	105	56
218	217	74
183	103	38
109	181	245
80	38	165
153	161	109
133	105	183
17	225	135
225	112	135
17	135	12
229	228	78
82	146	241
9	243	242
240	239	195
174	273	50
272	50	273
172	237	93
83	239	238
107	235	234
29	137	14
278	277	158
169	106	179
171	52	138
72	179	106
61	265	7
42	72	121
140	48	180
185	120	186
4	179	68
126	113	121
42	113	120
47	37	48
37	287	70
152	70	106
70	287	121
72	42	68
121	113	42
14	283	282
114	137	126
281	86	282
187	79	158
303	53	27
31	27	34
304	303	27
301	300	175
305	27	87
304	27	305
27	53	34
303	22	75
25	75	150
53	303	75
15	184	177
69	75	25
25	150	177
175	22	301
298	96	299
173	150	40
150	123	300
22	302	301
22	123	75
175	300	123
300	40	150
299	96	300
96	67	40
297	188	128
58	155	116
294	155	295
88	90	65
292	90	293
291	90	292
58	104	59
67	96	128
35	197	94
59	295	58
108	88	65
108	155	88
300	96	40
128	188	104
15	200	10
35	58	77
298	128	96
298	297	128
67	104	200
67	128	104
258	10	259
200	104	94
49	89	77
197	200	94
58	35	94
89	32	35
261	32	49
166	197	35
77	89	35
49	32	89
65	144	116
3	66	144
3	264	54
144	191	49
144	66	54
191	144	54
3	54	66
264	263	54
41	110	76
259	197	166
260	166	32
260	259	166
32	261	260
191	262	261
191	263	262
142	36	201
16	184	156
257	130	258
259	10	197
258	130	10
184	69	25
34	53	69
256	255	156
160	33	196
177	184	25
16	69	184
156	15	130
177	173	15
31	34	69
306	87	307
306	305	87
31	101	87
142	308	101
16	31	69
16	156	255
307	101	308
28	142	101
132	205	204
16	160	31
160	142	28
31	160	28
255	254	51
308	142	201
201	36	202
16	51	160
254	33	51
16	255	51
252	148	253
147	115	76
91	192	167
64	167	62
167	168	43
178	64	62
148	252	167
168	167	192
43	62	167
202	142	203
142	196	203
33	141	136
43	162	163
164	210	209
253	178	254
62	43	178
203	196	132
203	132	204
196	136	132
125	134	136
206	205	136
134	46	136
134	207	46
206	46	207
141	125	136
26	208	134
162	125	141
26	134	125
207	134	208
208	26	209
131	100	164
131	212	100
157	131	164
198	212	131
168	157	162
100	211	164
43	168	162
192	198	157
162	157	164
168	192	157
157	198	131
192	97	1
252	251	147
110	192	91
143	97	41
122	212	198
194	216	215
214	1	143
1	213	122
213	212	122
192	1	122
143	1	97
214	213	1
143	11	214
11	215	214
11	143	129
11	129	194
60	118	41
151	218	74
215	11	194
143	118	129
74	194	129
217	216	194
194	74	217
129	118	151
105	151	85
74	129	151
21	20	182
151	118	20
105	85	56
151	20	85
247	246	182
181	85	21
252	147	167
115	41	76
250	41	115
41	118	143
147	250	115
60	193	118
6	193	248
20	118	193
76	167	147
251	250	147
250	249	41
249	60	41
249	248	60
247	6	248
182	20	6
6	247	182
182	246	21
109	245	244
264	138	52
181	21	245
61	266	265
153	57	165
244	243	9
242	146	57
57	9	242
39	112	154
39	154	165
111	146	82
139	165	146
165	139	39
165	57	146
195	111	82
139	146	111
183	145	103
145	85	181
9	153	244
161	181	109
124	153	38
109	244	153
13	117	73
38	153	165
145	183	56
133	151	105
124	145	161
56	85	145
145	124	103
161	153	124
220	133	183
218	151	133
218	133	219
45	183	38
220	219	133
117	220	183
119	13	73
221	220	117
119	73	45
117	183	73
221	117	222
222	170	223
119	45	80
73	183	45
119	80	165
45	38	80
13	119	165
13	222	117
170	13	165
170	222	13
98	39	195
8	112	39
159	98	83
2	135	8
71	227	17
135	2	12
165	154	170
112	224	154
223	154	224
224	112	225
2	17	12
71	78	228
225	17	226
226	17	227
227	71	228
102	78	24
102	230	78
229	78	230
233	24	95
232	231	102
232	102	24
231	230	102
99	172	93
159	238	190
233	95	234
24	78	95
232	24	233
98	195	83
39	111	195
8	98	2
8	39	98
99	159	172
83	238	159
98	99	2
98	159	99
195	82	240
186	4	185
83	195	239
159	190	172
238	237	190
107	93	236
95	78	93
107	234	95
93	107	95
236	235	107
30	44	174
187	275	274
187	158	275
79	199	158
79	18	199
19	277	276
