Comune Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10
SanZenodiMontagna 79 1595 1730 1730 2220 2388 2445 2374 2209 2374 1940 2436 2369 2468 2512
SelvadiProgno 80 527 527 527 517 506 506 506 511 506 217 256 25 28 73
Soave 81 178 178 263 263 269 288 288 294 288 295 329 344 388 385
Sommacampagna 82 320 320 328 327 327 327 336 374 336 420 485 499 554 566
Sona 83 0 0 0 0 150 162 162 181 162 217 274 320 401 461
Sorgà 84 16 16 16 16 16 16 16 16 16 6 5 5 21 32
Terrazzo 85 0 0 0 0 0 0 0 0 0 2 2 5 5 5
TorridelBenaco 86 3730 3511 3731 4159 4102 4146 4082 3945 4082 3913 3660 3611 3480 3461
Tregnago 87 44 25 45 40 40 30 25 9 25 45 75 76 86 97
Trevenzuolo 88 19 19 19 19 19 19 19 23 19 19 25 28 28 28
ValeggiosulMincio 89 726 746 756 798 804 727 718 644 718 683 1352 1383 2256 2291
VeloVeronese 90 538 478 478 738 738 738 738 738 738 688 361 361 374 456
Verona 91 7726 7831 8103 8583 8845 9242 9169 9195 9169 9100 10014 10048 9799 10134
Veronella 92 12 12 12 18 18 18 18 18 18 12 14 14 14 14
Vestenanova 93 107 108 128 107 107 99 99 99 99 44 82 50 50 50
Vigasio 94 0 0 0 0 0 0 0 4 0 193 202 202 207 207
VillaBartolomea 95 0 0 0 0 0 12 12 12 12 28 25 50 242 242
VillafrancadiVerona 96 205 205 205 343 343 348 381 416 381 504 1420 1623 1613 1680
Zevio 97 0 0 0 0 6 6 8 8 8 43 54 96 126 121
Zimella 98 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Agugliaro 99 16 20 20 20 20 25 25 14 25 27 27 27 26 33
Albettone 100 13 13 13 13 13 15 15 10 15 15 15 15 18 18
Alonte 101 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AltavillaVicentina 102 287 267 264 270 275 393 393 382 393 399 401 419 435 426
Altissimo 103 10 0 0 10 10 17 22 22 22 27 27 31 41 29
Arcugnano 104 99 148 148 165 169 193 202 191 202 247 259 252 262 266
Arsiero 105 72 75 96 96 96 129 143 129 143 140 139 169 155 155
Arzignano 106 98 98 98 98 98 102 119 91 119 118 118 133 139 133
Asiago 107 8914 8833 8889 8802 8972 8824 8501 8659 8501 38167 4932 4930 5000 5812
AsiglianoVeneto 108 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BarbaranoVicentino 109 16 27 27 27 27 25 25 25 25 65 69 69 72 74
BassanodelGrappa 110 741 529 564 564 637 679 762 756 762 977 1091 1121 1124 1128
BolzanoVicentino 111 25 25 29 29 133 139 139 139 139 195 201 197 191 191
Breganze 112 32 32 32 32 32 20 20 27 20 119 29 31 43 50
Brendola 113 28 28 0 0 15 15 15 31 15 35 41 48 52 48
Bressanvido 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Brogliano 115 50 50 50 54 54 48 48 48 48 58 58 58 58 58
Caldogno 116 56 56 49 108 59 59 59 59 59 62 77 69 69 69
Caltrano 117 0 0 0 0 0 0 0 0 0 0 0 5 5 5
Calvene 118 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CamisanoVicentino 119 15 17 17 17 17 25 8 8 8 14 14 14 16 20
CampigliadeiBerici 120 0 0 0 0 0 0 0 0 0 10 10 10 10 10
CampolongosulBrenta 121 24 38 38 38 52 38 46 46 46 93 93 123 123 129
Carrè 122 42 58 59 59 59 55 60 41 60 44 52 52 52 52
Cartigliano 123 7 7 7 7 11 10 10 6 10 0 9 12 15 15
Cassola 124 118 111 111 111 118 114 114 134 114 147 150 146 118 118
Castegnero 125 0 22 22 22 22 22 22 22 22 22 22 38 38 38
Castelgomberto 126 0 0 0 0 0 0 10 10 10 10 10 10 10 12
Chiampo 127 64 64 142 142 142 141 119 99 119 103 152 159 158 167
