Comune Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10
PonzanoVeneto 347 28 8 8 168 172 181 193 193 193 185 185 187 208 209
Portobuffolè 348 83 78 83 83 82 82 82 87 82 87 89 89 89 89
Possagno 349 128 124 128 128 128 128 109 109 109 34 127 127 44 41
Povegliano 350 0 0 0 8 8 8 22 22 22 22 14 14 14 14
Preganziol 351 178 177 177 236 461 374 459 472 459 563 538 541 540 539
QuintodiTreviso 352 57 55 63 63 63 65 71 71 71 78 93 349 349 332
Refrontolo 353 25 25 12 32 66 39 27 27 27 41 51 44 62 50
Resana 354 0 0 0 6 6 6 13 7 13 38 38 38 51 54
RevineLago 355 392 374 390 390 431 374 623 620 623 277 258 301 294 324
RiesePioX 356 0 0 0 38 38 42 42 38 42 38 61 61 61 61
Roncade 357 50 50 50 63 65 75 68 70 68 128 156 164 257 224
Salgareda 358 20 14 14 14 44 48 22 22 22 48 107 72 50 50
SanBiagiodiCallalta 359 79 61 79 79 74 80 92 116 92 105 109 109 130 126
SanFior 360 56 68 68 64 69 69 69 69 69 67 67 67 67 65
SanPietrodiFeletto 361 21 17 26 35 41 47 49 56 49 86 89 82 83 87
SanPolodiPiave 362 23 23 23 23 23 35 52 46 52 46 46 34 34 34
SantaLuciadiPiave 363 0 0 0 0 0 0 0 0 0 5 5 5 5 5
SanVendemiano 364 58 58 58 0 78 92 98 110 98 110 112 112 112 111
SanZenonedegliEzzelini 365 58 58 58 58 58 72 78 78 78 96 104 110 123 118
Sarmede 366 32 32 32 34 34 34 38 38 38 40 44 42 24 24
Segusino 367 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SernagliadellaBattaglia 368 13 13 13 13 4 4 18 10 18 18 18 18 18 18
Silea 369 69 69 69 73 73 96 159 161 159 247 255 305 308 295
Spresiano 370 76 125 125 76 76 84 86 86 86 209 221 213 212 222
Susegana 371 91 56 73 60 146 149 166 162 166 157 203 193 190 132
Tarzo 372 197 143 190 198 198 209 209 137 209 207 165 155 155 89
Trevignano 373 0 0 0 0 0 0 0 4 0 11 11 17 28 30
Treviso 374 944 840 857 880 1122 1213 1267 1413 1267 1553 1589 1639 1703 1826
Valdobbiadene 375 130 94 105 109 167 193 267 297 267 431 454 466 477 487
Vazzola 376 15 15 15 15 15 16 21 21 21 21 21 21 21 26
Vedelago 377 161 145 135 160 133 133 136 136 136 151 191 186 191 199
Vidor 378 0 0 0 0 0 0 2 3 2 10 7 7 7 4
Villorba 379 87 87 87 111 111 115 141 145 141 146 308 329 318 322
VittorioVeneto 380 326 264 325 359 345 356 383 375 383 427 427 450 504 526
VolpagodelMontello 381 40 40 46 44 44 44 56 56 56 62 86 96 92 90
ZensondiPiave 382 9 0 9 0 0 6 6 6 6 6 6 0 0 0
ZeroBranco 383 5 5 5 10 18 18 21 16 21 37 33 33 33 34
AnnoneVeneto 384 13 13 13 14 13 13 13 0 13 0 13 0 0 0
CampagnaLupia 385 47 47 47 47 54 54 54 24 54 22 81 81 134 195
CampolongoMaggiore 386 0 0 0 0 0 0 0 0 0 0 0 0 7 7
Camponogara 387 0 0 0 0 0 0 0 0 0 8 10 18 18 18
Caorle 388 50169 49400 50580 49312 48966 52983 51672 51889 51672 52523 54581 60997 61001 58320
Cavarzere 389 45 55 45 45 71 71 71 71 71 71 62 83 91 95
Ceggia 390 8 8 8 8 8 17 17 17 17 8 17 17 41 33
Chioggia 391 27890 27906 28179 28123 28113 30469 31383 30491 31383 29047 28549 39456 38560 25067
CintoCaomaggiore 392 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cona 393 0 0 0 0 0 9 9 9 9 9 9 9 9 9
ConcordiaSagittaria 394 38 38 8 31 42 42 47 47 47 67 93 173 127 142
Dolo 395 148 148 150 162 178 204 226 200 226 271 288 326 373 356
Eraclea 396 9877 10134 9370 9374 9344 9512 9461 9346 9461 7596 12261 13934 14178 9229
Fiessod'Artico 397 115 126 128 128 143 157 166 149 166 154 216 216 217 208
FossaltadiPiave 398 0 0 0 21 21 21 21 21 21 21 21 21 25 25
FossaltadiPortogruaro 399 10 10 23 23 23 23 33 33 33 35 42 52 50 46
Fossò 400 8 8 8 8 8 8 47 47 47 47 66 81 87 65
Gruaro 401 0 0 9 15 15 22 22 22 22 22 22 22 22 15
Jesolo 402 79329 78937 77844 79079 81459 82425 83985 84055 83985 88424 61635 70719 70613 63204
Marcon 403 37 53 53 53 61 61 61 61 61 69 360 419 402 410
Martellago 404 0 0 0 0 6 6 6 6 6 18 47 189 215 178
Meolo 405 33 130 126 126 126 35 134 134 134 134 142 142 175 169
Mira 406 541 539 574 677 728 787 803 812 803 883 1030 1335 1127 1124
Mirano 407 212 302 302 371 392 400 392 378 392 397 579 734 654 983
MusilediPiave 408 15 15 14 14 14 35 44 44 44 38 41 55 79 85
Noale 409 305 305 321 321 324 324 360 357 360 349 449 478 389 377
NoventadiPiave 410 56 56 56 81 185 303 303 336 303 330 409 618 625 796
Pianiga 411 0 0 0 0 0 0 103 103 103 166 181 187 194 192
Portogruaro 412 197 197 201 198 207 240 245 248 245 246 254 352 374 381
Pramaggiore 413 0 0 0 0 0 0 0 0 0 0 0 0 0 10
Quartod'Altino 414 137 295 295 310 310 310 316 623 316 629 656 651 649 649
Salzano 415 22 22 78 90 94 94 94 84 94 84 84 84 86 92
SanDonàdiPiave 416 421 444 454 432 476 440 440 440 440 466 459 480 413 398
SanMichelealTagliamento 417 62387 69201 70178 70426 70434 74852 76361 78439 76361 77525 73325 85561 85363 82472
SantaMariadiSala 418 64 64 64 64 64 64 64 80 64 80 94 101 94 95
SantoStinodiLivenza 419 86 86 51 54 83 83 87 75 87 98 131 132 151 145
Scorzè 420 74 74 74 73 73 126 126 120 126 131 165 188 190 190
Spinea 421 46 46 46 54 54 63 74 80 74 90 113 161 119 119
Stra 422 96 96 96 96 96 96 96 181 96 292 299 297 304 296
TeglioVeneto 423 0 0 0 0 6 6 12 12 12 12 13 13 13 13
TorrediMosto 424 0 0 0 0 25 25 25 25 25 12 31 32 46 52
Venezia 425 92556 94751 95062 96503 99471 30507 32645 32208 32645 35915 41232 48501 46380 45443
Vigonovo 426 12 20 29 30 34 41 37 30 37 21 51 77 81 81
Cavallino-Treporti 427 0 0 0 0 0 71988 71552 71386 71552 70603 76388 75477 74623 72725
AbanoTerme 428 10657 10167 10167 11260 11334 10494 10415 10063 10415 10462 10490 10593 10637 10766
Agna 429 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Albignasego 430 133 133 133 149 149 183 189 171 189 192 211 209 212 211
AnguillaraVeneta 431 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ArquàPetrarca 432 0 17 17 17 17 9 23 14 23 25 108 134 161 162
Arre 433 0 0 0 0 4 8 8 6 8 0 4 4 4 0
Arzergrande 434 0 0 0 0 0 0 0 0 0 0 5 5 5 5
BagnolidiSopra 435 0 10 10 11 11 10 11 0 11 0 10 10 10 22
Baone 436 0 0 0 0 23 58 74 14 74 109 162 155 161 153
Barbona 437 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BattagliaTerme 438 208 201 201 203 221 200 185 167 185 171 173 167 175 175
BoaraPisani 439 36 36 36 38 38 36 106 106 106 110 110 110 113 113
Borgoricco 440 0 0 0 0 4 12 4 4 4 30 50 50 68 44
Bovolenta 441 12 0 0 16 16 18 16 16 16 16 27 31 31 28
Brugine 442 0 0 0 6 13 13 23 12 23 32 33 25 25 21
Cadoneghe 443 0 0 0 8 8 16 19 20 19 81 91 85 80 80
Campodarsego 444 0 0 0 0 0 0 0 0 0 99 106 106 106 106
Campodoro 445 0 0 0 0 0 0 0 0 0 0 0 4 4 7
Camposampiero 446 98 137 137 187 190 267 339 302 339 215 361 442 442 436
CampoSanMartino 447 0 0 0 0 0 0 5 5 5 0 0 0 12 22
Candiana 448 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Carceri 449 0 0 0 0 0 0 0 0 0 0 6 6 6 18
CarmignanodiBrenta 450 70 64 64 63 63 66 63 71 63 56 69 69 69 69
Cartura 451 0 0 0 5 5 0 0 0 0 0 0 0 0 0
CasalediScodosia 452 0 0 0 0 0 10 0 0 0 0 4 4 8 21
Casalserugo 453 0 0 0 0 0 0 0 4 0 4 13 13 23 27
Castelbaldo 454 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CervareseSantaCroce 455 0 0 0 0 4 18 14 0 14 18 51 52 47 43
CintoEuganeo 456 0 0 0 0 6 45 64 27 64 69 102 101 110 95
Cittadella 457 365 348 348 346 346 388 424 428 424 420 445 481 481 495
Codevigo 458 34 34 34 18 30 52 52 52 52 42 48 48 48 53
Conselve 459 58 58 58 58 58 192 192 192 192 234 244 244 244 252
Correzzola 460 0 0 0 40 40 40 40 40 40 40 53 69 85 91
Curtarolo 461 0 0 0 0 0 16 0 0 0 26 39 44 44 39
Este 462 123 95 95 129 161 189 200 180 200 229 352 368 415 382
Fontaniva 463 23 24 24 20 20 37 30 30 30 28 28 28 28 28
GallieraVeneta 464 0 0 0 0 0 0 0 4 0 0 0 0 0 0
GalzignanoTerme 465 713 673 673 719 741 763 699 702 699 760 798 805 831 820
Gazzo 466 0 0 0 93 93 93 93 93 93 101 101 98 98 98
Grantorto 467 11 11 11 11 11 11 30 19 30 27 30 30 30 30
Granze 468 0 0 0 0 0 2 4 4 4 8 15 15 15 12
Legnaro 469 17 17 17 17 17 26 30 35 30 49 56 54 63 65
Limena 470 43 46 46 47 53 68 65 78 65 84 99 107 106 104
Loreggia 471 16 16 16 56 67 68 67 68 67 45 70 72 72 72
LozzoAtestino 472 0 0 0 0 0 16 22 13 22 13 38 38 40 48
MaseràdiPadova 473 0 0 0 0 4 4 4 0 4 0 54 54 56 56
Masi 474 0 0 0 0 6 12 6 57 6 57 57 61 61 57
Massanzago 475 44 44 44 61 61 85 68 95 68 91 94 119 135 111
MegliadinoSanFidenzio 476 0 0 0 2 2 10 10 8 10 0 8 8 0 0
MegliadinoSanVitale 477 13 13 13 14 14 13 13 8 13 8 21 21 21 21
Merlara 478 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mestrino 479 30 13 13 34 28 28 37 33 37 28 63 85 99 106
Monselice 480 173 163 163 176 320 318 329 309 329 369 462 461 484 480
Montagnana 481 124 205 205 168 181 155 193 177 193 197 318 248 249 243
MontegrottoTerme 482 6646 6730 6730 6823 7036 7081 7051 7000 7051 6896 7262 7088 6793 6748
NoventaPadovana 483 28 28 28 28 28 44 47 40 47 46 66 94 96 107
OspedalettoEuganeo 484 15 0 0 40 40 40 40 25 40 25 39 64 66 68
Padova 485 3974 4052 4052 4234 4109 4289 5353 4529 5353 5585 6939 7334 7367 7366
Pernumia 486 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Piacenzad'Adige 487 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PiazzolasulBrenta 488 26 18 18 26 26 18 32 29 32 48 63 57 51 44
PiombinoDese 489 0 0 0 12 12 12 31 12 31 12 36 36 36 47
PiovediSacco 490 60 60 60 204 204 209 209 211 209 230 223 223 223 223
Polverara 491 0 0 0 0 0 0 0 0 0 16 26 14 14 14
Ponso 492 12 12 12 12 12 12 12 12 12 15 15 15 15 15
Pontelongo 493 16 16 16 18 36 36 36 36 36 36 36 36 36 36
PonteSanNicolò 494 73 73 73 86 86 98 189 98 189 98 98 102 104 116
Pozzonovo 495 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Rovolon 496 0 0 0 0 0 17 21 2 21 96 138 106 118 128
Rubano 497 233 211 211 212 212 220 220 212 220 214 237 237 250 248
Saccolongo 498 0 0 0 0 2 8 17 15 17 0 25 20 20 0
Saletto 499 7 10 10 7 7 18 25 18 25 0 18 9 9 9
SanGiorgiodellePertiche 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SanGiorgioinBosco 501 70 70 70 70 70 70 70 70 70 70 70 84 84 84
SanMartinodiLupari 502 24 16 16 19 24 43 50 43 50 44 53 46 50 50
SanPietroinGu 503 21 21 21 20 20 21 20 20 20 21 21 20 20 20
SanPietroViminario 504 0 0 0 5 5 4 5 5 5 16 27 22 34 24
SantaGiustinainColle 505 10 10 10 8 8 8 8 8 8 8 8 14 17 17
SantaMargheritad'Adige 506 0 0 0 0 0 0 0 0 0 4 0 0 0 0
Sant'AngelodiPiovediSacco 507 0 0 0 0 0 0 0 0 0 0 0 0 0 4
Sant'Elena 508 0 0 0 4 4 7 4 0 4 6 18 18 24 24
Sant'Urbano 509 0 0 0 0 0 0 0 0 0 0 4 4 20 20
Saonara 510 0 0 0 0 0 0 0 0 0 0 0 0 0 6
SelvazzanoDentro 511 168 159 159 180 183 283 325 270 325 283 301 299 314 308
Solesino 512 11 11 11 11 11 11 11 11 11 11 11 0 0 0
Stanghella 513 32 30 30 25 28 37 44 39 44 36 39 40 40 42
Teolo 514 909 842 842 906 907 861 873 849 873 865 1059 1068 1095 1104
TerrassaPadovana 515 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tombolo 516 14 14 14 14 14 18 18 18 18 20 6 6 6 0
Torreglia 517 74 76 76 76 143 191 181 157 181 193 244 237 249 255
Trebaseleghe 518 38 39 39 37 42 44 62 63 62 48 52 52 52 57
Tribano 519 14 14 14 12 14 25 19 22 19 25 28 28 28 25
Urbana 520 70 11 11 70 91 32 32 49 32 49 49 49 49 49
Veggiano 521 0 0 0 6 6 6 0 0 0 18 44 44 38 38
Vescovana 522 0 0 0 4 4 7 4 0 4 15 15 15 15 15
Vighizzolod'Este 523 0 0 0 0 4 4 4 4 4 0 6 12 12 12
Vigodarzere 524 0 0 0 0 2 19 17 15 17 34 34 21 39 36
Vigonza 525 103 129 129 122 125 168 137 165 137 284 291 329 333 318
VilladelConte 526 16 35 35 34 34 53 31 53 31 57 77 75 85 77
VillaEstense 527 0 0 0 0 0 0 0 0 0 0 0 0 0 2
VillafrancaPadovana 528 12 12 12 12 12 26 26 26 26 78 105 113 119 119
VillanovadiCamposampiero 529 0 0 0 0 0 0 0 0 0 0 0 0 0 3
Vo 530 15 0 0 45 82 137 181 15 181 203 264 264 270 188
DueCarrare 531 8 8 8 8 8 8 8 14 8 36 41 53 53 61
Adria 532 114 112 112 158 209 215 192 141 192 138 268 245 314 331
ArianonelPolesine 533 20 20 20 26 45 45 54 67 54 78 85 75 112 118
ArquàPolesine 534 8 8 13 13 13 13 13 67 13 67 57 78 78 112
BadiaPolesine 535 95 92 92 92 96 78 82 90 82 92 108 112 120 125
BagnolodiPo 536 0 0 0 0 0 0 0 0 0 14 14 14 14 14
Bergantino 537 42 42 42 42 42 42 62 62 62 62 62 62 62 62
Bosaro 538 10 10 10 14 14 12 15 15 15 20 15 15 15 8
Calto 539 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Canaro 540 58 58 58 58 56 52 52 56 52 52 56 60 60 60
Canda 541 0 0 0 0 0 0 0 8 0 8 0 0 0 0
Castelguglielmo 542 0 0 0 0 0 0 0 0 0 0 8 8 8 0
Castelmassa 543 48 50 50 50 50 60 41 41 41 41 41 41 25 25
CastelnovoBariano 544 0 0 0 0 0 0 0 0 0 0 6 10 11 11
Ceneselli 545 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ceregnano 546 0 0 0 0 0 0 0 0 0 6 6 0 0 0
Corbola 547 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CostadiRovigo 548 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Crespino 549 0 0 0 0 0 0 0 6 0 28 28 33 50 50
Ficarolo 550 4 4 4 4 76 74 74 74 74 74 74 74 74 74
FiessoUmbertiano 551 0 0 0 0 0 0 0 22 0 23 25 25 67 95
FrassinellePolesine 552 0 0 0 0 0 0 0 0 0 6 6 6 6 6
FrattaPolesine 553 25 14 25 14 14 14 14 14 14 18 23 34 34 39
Gaiba 554 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gavello 555 0 0 0 0 0 0 0 0 0 8 8 8 12 12
GiaccianoconBaruchella 556 0 0 0 0 0 0 0 0 0 9 9 9 9 9
GuardaVeneta 557 0 0 0 0 0 0 0 0 0 6 6 6 6 6
Lendinara 558 12 12 12 12 12 12 12 3 12 9 9 30 30 37
Loreo 559 43 45 45 119 119 119 119 126 119 144 144 144 162 162
Lusia 560 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Melara 561 5 5 5 5 5 5 5 5 5 17 17 33 33 28
Occhiobello 562 151 158 156 167 167 368 369 369 369 411 420 398 404 404
Papozze 563 0 0 0 0 0 0 100 110 100 100 76 153 153 157
PettorazzaGrimani 564 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pincara 565 0 0 0 0 0 0 0 0 0 0 0 0 5 5
Polesella 566 48 47 47 47 50 50 52 52 52 53 53 53 62 62
PontecchioPolesine 567 0 0 0 5 5 5 5 6 5 6 6 6 6 6
PortoTolle 568 1350 1305 1389 1395 1495 1511 1503 1544 1503 1668 455 1961 2078 2716
Rosolina 569 21870 22329 22374 22355 22277 23097 22043 21777 22043 20814 21381 22766 22626 21687
Rovigo 570 349 266 365 385 403 463 466 474 466 534 756 755 757 751
Salara 571 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SanBellino 572 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SanMartinodiVenezze 573 0 0 16 16 16 16 16 16 16 28 58 58 72 72
Stienta 574 5 5 5 5 5 5 5 5 5 5 5 5 9 9
TagliodiPo 575 131 139 165 180 180 180 176 257 176 276 282 282 307 317
Trecenta 576 44 20 52 52 32 67 67 67 67 86 96 75 103 103
Villadose 577 15 15 15 15 15 27 12 30 12 18 18 24 24 24
Villamarzana 578 0 0 0 0 0 0 0 0 0 0 0 0 5 0
VillanovadelGhebbo 579 10 10 10 10 10 10 10 10 10 10 10 10 10 10
VillanovaMarchesana 580 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PortoViro 581 106 152 200 229 248 255 266 266 266 233 225 241 216 203
